      ÿÀ»÷≈¬€≈ ›¬ŒÀ‹¬≈Õ“Õ€≈ —Œ≈ƒ»Õ≈Õ»ﬂ ,
               –¿«Ã≈–€ ‚ ÃÃ
+------+-------+-----------+----------------¨
|      |       | ƒ»¿Ã≈“–   |  Œ¡Œ«Õ¿◊≈Õ»≈   |
|◊»—ÀŒ |ÃŒƒ”À‹ |Œ –”∆ÕŒ—“» |                |
|«”¡‹≈¬|       | ¬€—“”œŒ¬  |                |
+------+-------+-----------+----------------|
|       ÃŒƒ”À‹ 1           |                |
|--------------------------+----------------|
|   6  |  1    |      8    |   8x1x6        |
|   7  |  1    |      9    |   9x1x7        |
|   8  |  1    |     10    |   10x1x8       |
|  10  |  1    |     12    |   12x1x10      |
|  12  |  1    |     14    |   14x1x12      |
|  13  |  1    |     15    |   15x1x13      |
|  14  |  1    |     16    |   16x1x14      |
|  15  |  1    |     17    |   17x1x15      |
|  16  |  1    |     18    |   18x1x16      |
|  18  |  1    |     20    |   20x1x18      |
|  20  |  1    |     22    |   22x1x20      |
|  24  |  1    |     25    |   25x1x24      |
|  26  |  1    |     28    |   28x1x26      |
|  28  |  1    |     30    |   30x1x28      |
|  30  |  1    |     32    |   32x1x30      |
|  34  |  1    |     35    |   35x1x34      |
|  36  |  1    |     38    |   38x1x36      |
|  38  |  1    |     40    |   40x1x38      |
|  40  |  1    |     42    |   42x1x40      |
|  44  |  1    |     45    |   45x1x44      |
|  46  |  1    |     48    |   48x1x46      |
|  48  |  1    |     50    |   50x1x48      |
|  50  |  1    |     52    |   52x1x50      |
|  54  |  1    |     55    |   55x1x54      |
|  56  |  1    |     58    |   58x1x56      |
|  58  |  1    |     60    |   60x1x58      |
|--------------------------+----------------|
|       ÃŒƒ”À‹ 1.5         |                |
|--------------------------+----------------|
|   6  |  1.5  |     12    |   12x1,5x6     |
|   8  |  1.5  |     14    |   14x1,5x8     |
|   8  |  1.5  |     15    |   15x1,5x8     |
|   9  |  1.5  |     16    |   16x1,5x9     |
|  10  |  1.5  |     17    |   17x1,5x10    |
|  10  |  1.5  |     18    |   18x1,5x10    |
|  12  |  1.5  |     20    |   20x1,5x12    |
|  13  |  1.5  |     22    |   22x1,5x13    |
|  15  |  1.5  |     25    |   25x1,5x15    |
|  17  |  1.5  |     28    |   28x1,5x17    |
|  18  |  1.5  |     30    |   30x1,5x18    |
|  20  |  1.5  |     32    |   32x1,5x20    |
|  22  |  1.5  |     35    |   35x1,5x22    |
|  24  |  1.5  |     38    |   38x1,5x24    |
|  25  |  1.5  |     40    |   40x1,5x25    |
|  26  |  1.5  |     42    |   42x1,5x26    |
|  28  |  1.5  |     45    |   45x1,5x28    |
|  30  |  1.5  |     48    |   48x1,5x30    |
|  32  |  1.5  |     50    |   50x1,5x32    |
|  33  |  1.5  |     52    |   52x1,5x33    |
|  35  |  1.5  |     55    |   55x1,5x35    |
|  37  |  1.5  |     58    |   55x1,5x37    |
|  38  |  1.5  |     60    |   60x1,5x38    |
|  40  |  1.5  |     62    |   62x1,5x40    |
|  42  |  1.5  |     65    |   65x1,5x42    |
|  44  |  1.5  |     68    |   68x1,5x44    |
|  45  |  1.5  |     70    |   70x1,5x45    |
|  46  |  1.5  |     72    |   72x1,5x46    |
|  48  |  1.5  |     75    |   75x1,5x48    |
|  50  |  1.5  |     78    |   78x1,5x50    |
|  52  |  1.5  |     80    |   80x1,5x52    |
|  53  |  1.5  |     82    |   82x1,5x53    |
|  55  |  1.5  |     85    |   85x1,5x55    |
|  57  |  1.5  |     88    |   88x1,5x57    |
|  58  |  1.5  |     90    |   90x1,5x58    |
|  60  |  1.5  |     92    |   92x1,5x60    |
|  62  |  1.5  |     95    |   95x1,5x62    |
|  64  |  1.5  |     98    |   98x1,5x64    |
|  64  |  1.5  |    100    |   100x1,5x64   |
|  68  |  1.5  |    105    |   105x1,5x68   |
|  72  |  1.5  |    110    |   110x1,5x72   |
|--------------------------+----------------|
|       ÃŒƒ”À‹ 2           |                |
|--------------------------+----------------|
|   6  |  2    |     15    |   15x2x6       |
|   6  |  2    |     16    |   16x2x6       |
|   7  |  2    |     17    |   17x2x7       |
|   7  |  2    |     18    |   18x2x7       |
|   8  |  2    |     20    |   20x2x8       |
|   9  |  2    |     22    |   22x2x9       |
|  11  |  2    |     25    |   25x2x11      |
|  12  |  2    |     28    |   28x2x12      |
|  13  |  2    |     30    |   30x2x13      |
|  14  |  2    |     32    |   32x2x14      |
|  16  |  2    |     35    |   35x2x16      |
|  18  |  2    |     38    |   38x2x18      |
|  18  |  2    |     40    |   40x2x18      |
|  20  |  2    |     42    |   42x2x20      |
|  21  |  2    |     45    |   45x2x21      |
|  22  |  2    |     48    |   48x2x22      |
|  24  |  2    |     50    |   50x2x24      |
|  24  |  2    |     52    |   52x2x24      |
