Проточки наружн. для трапецeидальных
резьб ГОСТ 10549-80, размеры в мм
+----+----+-------------------+
|шаг |диа-|    Пpоточка       |
|резь|метp|    наружная       |
|бы  |    +----+---+---+------+
|shr | dr |  b | r |r1 | d3   |
+----+----+----+---+---+------+
| 1.5|    | 2.5|1  |0.5|d-2   |
| 2  |    | 3  |1  |0.5|d-3   |
| 3  |    | 5  |1.6|0.5|d-4.2 |
| 4  |    | 6  |1.6|1  |d-5.2 |
| 5  |    | 8  |2  |1  |d-7   |
| 6  |    | 10 |3  |1  |d-8   |
| 7  |    | 12 |3  |1  |d-9   |
| 8  |    | 12 |3  |1  |d-10.2|
| 9  |    | 14 |3  |1  |d-11.2|
| 10 |    | 16 |3  |1  |d-12.5|
| 12 |    | 18 |3  |1  |d-14.5|
| 14 |    | 20 |5  |2  |d-16.5|
| 16 |    | 25 |5  |2  |d-19.5|
| 18 |    | 25 |5  |2  |d-22.5|
| 20 |    | 25 |5  |2  |d-24  |
| 22 |    | 30 |5  |2  |d-26  |
| 24 |    | 30 |5  |2  |d-28  |
| 28 |    | 40 |5  |2  |d-32  |
| 32 |    | 40 |5  |2  |d-36.5|
| 36 |    | 50 |5  |2  |d-45.5|
| 40 |    | 50 |5  |2  |d-44.5|
| 44 |    | 60 |5  |2  |d-48.5|
| 48 |    | 60 |5  |2  |d-52.8|
+----+----+----+---+---+------+
