 Проточки внутр. для трапецeидальных
 резьб ГОСТ 10549-80, размеры в мм
+----+----+-------------------+
|шаг |диа-|    Пpоточка       |
|резь|метp|    наружная       |
|бы  |    +----+---+---+------+
|shr | dr |  b | r |r1 | d3   |
+----+----+----+---+---+------+
| 1.5|    | 2.5|1  |0.5|d+1   |
| 2  |    | 3  |1  |0.5|d+1   |
| 3  |    | 5  |1.6|0.5|d+1   |
| 4  |    | 6  |1.6|1  |d+1.1 |
| 5  |    | 8  |2  |1  |d+1.6 |
| 6  |    | 10 |3  |1  |d+1.6 |
| 7  |    | 12 |3  |1  |d+1.6 |
| 8  |    | 12 |3  |1  |d+1.8 |
| 9  |    | 14 |3  |1  |d+1.8 |
| 10 |    | 16 |3  |1  |d+1.8 |
| 12 |    | 18 |3  |1  |d+2.1 |
| 14 |    | 20 |5  |2  |d+2.5 |
| 16 |    | 25 |5  |2  |d+2.8 |
| 18 |    | 25 |5  |2  |d+3   |
| 20 |    | 25 |5  |2  |d+3   |
| 22 |    | 30 |5  |2  |d+3   |
| 24 |    | 30 |5  |2  |d+3.5 |
| 28 |    | 40 |5  |2  |d+3.5 |
| 32 |    | 40 |5  |2  |d+3.5 |
| 36 |    | 50 |5  |2  |d+4   |
| 40 |    | 50 |5  |2  |d+4   |
| 44 |    | 60 |5  |2  |d+4   |
| 48 |    | 60 |5  |2  |d+4   |
+----+----+----+---+---+------+
