          КАНАВКИ ДЛЯ ВЫХОДА ДОЛБЯКОВ
          ГОСТ 14775-81, РАЗМЕРЫ в ММ
+---------+--------+-------------------------+-------------------------+
|Ширина   |        |        a,не менее       |       r,не менее        |
|зубчатого|   A1,  |-------------------------+-------------------------|
|шлицевого|не менее|Для зубчатых|Для шлицевых|Для зубчатых|Для шлицевых|
|венца    |        |колес       |венцов      |колес       |венцов      |
|---------+--------+------------+------------+------------+------------|
|  0-10   |  1.0   |     0.5    |    0.25    |     0.4    |    0.2     |
|  10-15  |  1.5   |     0.5    |    0.25    |     0.4    |    0.2     |
|  15-20  |  2.0   |     0.5    |    0.25    |     0.4    |    0.2     |
|  20-25  |  2.5   |     0.5    |    0.25    |     0.4    |    0.2     |
|  25-30  |  2.5   |     0.5    |    0.25    |     0.4    |    0.2     |
|  30-35  |  2.5   |     0.5    |    0.25    |     0.4    |    0.2     |
|  35-40  |  3.0   |     1.0    |    1.00    |     1.0    |    1.0     |
|  40-45  |  3.5   |     1.0    |    1.00    |     1.0    |    1.0     |
|  45-50  |  4.0   |     1.0    |    1.00    |     1.0    |    1.0     |
|  50-55  |  4.5   |     2.0    |    1.00    |     1.0    |    1.0     |
|  55-60  |  5.0   |     2.0    |    1.00    |     1.0    |    1.0     |
|  60-65  |  5.5   |     2.0    |    1.00    |     1.0    |    1.0     |
|  65-70  |  5.5   |     2.0    |    1.00    |     1.0    |    1.0     |
|  70-75  |  5.5   |     2.0    |    1.00    |     1.0    |    1.0     |
|  75-80  |  6.0   |     2.0    |    1.00    |     1.0    |    1.0     |
|  80-90  |  7.0   |     3.0    |    1.60    |     1.6    |    1.6     |
|  90-100 |  8.0   |     3.0    |    1.60    |     1.6    |    1.6     |
| 100-120 |  9.0   |     3.0    |    1.60    |     1.6    |    1.6     |
+---------+--------+------------+------------+------------+------------+
