        КАНАВКИ ДЛЯ ВЫХОДА ШЛИФОВАЛЬНОГО КРУГА ПРИ КРУГЛОМ ШЛИФОВАНИИ
                   ГОСТ 8820-69, РАЗМЕРЫ в ММ
+--------+-----------+-----------+--------+-----------+-----------+-----------+
|ШИРИНА  |НАРУЖНОЕ   |ВНУТРЕННЕЕ |ГЛУБИНА |РАДИУС     |РАДИУС     |ДИАМЕТР    |
|КАНАВКИ |ШЛИФОВАНИЕ |ШЛИФОВАНИЕ |КАНАВКИ |СКРУГЛЕНИЯ |СКРУГЛЕНИЯ |ВАЛА       |
|        |           |           |        |           |           |(ОТВЕРСТИЯ)|
+--------+-----------+-----------+--------+-----------+-----------+-----------+
|   1.0  |    -0.3   |    +0.3   |   0.2  |    0.3    |    0.2    | <10       |
|   1.6  |    -0.3   |    +0.3   |   0.2  |    0.5    |    0.3    | <10       |
|   2.0  |    -0.5   |    +0.5   |   0.3  |    0.5    |    0.3    | <10       |
|   3.0  |    -0.5   |    +0.5   |   0.3  |    1.0    |    0.5    | 10-50     |
|   5.0  |    -1.0   |    +1.0   |   0.5  |    1.6    |    0.5    | 50-100    |
|   8.0  |    -1.0   |    +1.0   |   0.5  |    2.0    |    1.0    | >100      |
|  10.0  |    -1.0   |    +1.0   |   0.5  |    3.0    |    1.0    | >100      |
+--------+-----------+-----------+--------+-----------+-----------+-----------+
     ПРИМЕЧАНИЕ. Если на одной детали имеется несколько диаметров под
                 шлифование, то канавки принимают одинакового размера.
