 Посадочные места для радиальных уплотнений, РАЗМЕРЫ в ММ
          для неподвижных соединений
+------+-------+----------+--------+----+-------¬
|ДИАМ. |ДИАМЕТР|          | ШИРИНА | У  | Рад.  |
|сечен.| вала  | глубина  | канавки| г  |биение |
|кольца|       | канавки  |        | о  |       |
|      |       |          |        | л  |       |
+------+-------+----------+--------+----+-------+
|  2.5 |  24   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  25   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  26   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  27   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  28   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  29   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  30   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  31   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  32   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  33   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  36   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  38   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  40   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  41   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  42   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  44   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  45   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  46   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  47   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  48   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  49   |    3.7   |   3.6  | 5  |  0.06 |
|  2.5 |  50   |    3.7   |   3.6  | 5  |  0.06 |
|  3.0 |  25   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  27   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  28   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  29   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  30   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  32   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  33   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  35   |    4.7   |   4.0  | 5  |  0.04 |
|  3.0 |  37   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  38   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  40   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  41   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  42   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  45   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  48   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  50   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  55   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  56   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  60   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  61   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  63   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  65   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  68   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  70   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  71   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  75   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  76   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  80   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  85   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 |  90   |    4.7   |   4.0  | 5  |  0.06 |
|  3.0 | 100   |    4.7   |   4.0  | 5  |  0.06 |
+------+-------+----------+--------+----+--------

