           анавки наружные под кольца запорные
+---------+------------+---------+------------+---------+
|наружный | внутренний | радиус  | допуск на  | диаметр |
|диаметр  | диаметр    | канавки | внутренний | сечени€ |
|вала     |            |         | диаметр    | кольца  |
|         |            |         |            |         |
|  d      |     d1     |   r     |            |         |
+---------+------------+---------+------------+---------+
| 4       |   3.6      |  0.4    |  -0.1      |   0.8   |
| 5       |   4.6      |  0.4    |  -0.1      |   0.8   |
| 6       |   5.6      |  0.4    |  -0.1      |   0.8   |
| 8       |   7.8      |  0.4    |  -0.1      |   0.8   |
| 10      |   9.6      |  0.4    |  -0.1      |   0.8   |
| 12      |  11.4      |  0.6    |  -0.1      |   1.0   |
| 13      |  12.4      |  0.6    |  -0.1      |   1.0   |
| 14      |  13.4      |  0.6    |  -0.1      |   1.0   |
| 16      |  15.0      |  1.0    |  -0.1      |   1.6   |
| 18      |  17        |  1.0    |  -0.1      |   1.6   |
| 20      |  18.8      |  1.2    |  -0.2      |   2.0   |
| 22      |  20.8      |  1.2    |  -0.2      |   2.0   |
| 25      |  23.8      |  1.2    |  -0.2      |   2.0   |
| 28      |  26.8      |  1.2    |  -0.2      |   2.0   |
| 30      |  28.8      |  1.2    |  -0.2      |   2.5   |
| 32      |  30.5      |  1.6    |  -0.2      |   2.5   |
| 36      |  34.5      |  1.6    |  -0.2      |   2.5   |
| 38      |  36.5      |  1.6    |  -0.2      |   2.5   |
| 40      |  38.5      |  1.6    |  -0.2      |   2.5   |
| 42      |  40.5      |  1.6    |  -0.2      |   2.5   |
| 45      |  43.5      |  1.6    |  -0.2      |   2.5   |
| 48      |  46.5      |  1.6    |  -0.2      |   2.5   |
| 50      |  48.5      |  1.6    |  -0.2      |   2.5   |
| 55      |  53        |  2.0    |  -0.3      |   2.5   |
| 60      |  58        |  2.0    |  -0.3      |   3.2   |
| 65      |  63        |  2.0    |  -0.3      |   3.2   |
| 70      |  68        |  2.0    |  -0.3      |   3.2   |
| 75      |  73        |  2.0    |  -0.3      |   3.2   |
| 80      |  78        |  2.0    |  -0.3      |   3.2   |
| 85      |  83        |  2.0    |  -0.3      |   3.2   |
| 90      |  88        |  2.0    |  -0.3      |   3.2   |
| 95      |  93        |  2.0    |  -0.3      |   3.2   |
| 100     |  98        |  2.0    |  -0.3      |   3.2   |
+---------+------------+---------+------------+---------+
