           Канавки внутр. под кольца запорные
+---------+------------+---------+------------+---------+-----+
|номинальн|диаметр     |радиус   |допуск на   |диаметр  |расст|
|диаметр  |проточки    |канавки  |диаметр     |сечения  |от   |
|отверстия|            |         |проточки    |кольца   |торца|
|         |            |         |            |         |     |
|   d     |   d1       |   r     |            |         |     |
+---------+------------+---------+------------+---------+-----+
|  8      |     8.4    |     0.4 |      +0.1  |    0.8  | 1.6 |
|  10     |    10.4    |     0.4 |      +0.1  |    0.8  | 1.6 |
|  12     |    12.6    |     0.6 |      +0.1  |    1.0  | 2.5 |
|  13     |    13.6    |     0.6 |      +0.1  |    1.0  | 2.5 |
|  14     |    14.6    |     0.6 |      +0.1  |    1.0  | 2.5 |
|  16     |    17.0    |     1.0 |      +0.1  |    1.6  |  3  |
|  18     |    19.0    |     1.0 |      +0.1  |    1.6  |  3  |
|  20     |    21.2    |     1.2 |      +0.2  |    2.0  |  4  |
|  22     |    23.2    |     1.2 |      +0.2  |    2.0  |  4  |
|  25     |    26.2    |     1.2 |      +0.2  |    2.0  |  4  |
|  28     |    29.2    |     1.2 |      +0.2  |    2.0  |  4  |
|  30     |    31.2    |     1.2 |      +0.2  |    2.5  |  4  |
|  32     |    33.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  36     |    37.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  38     |    39.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  40     |    41.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  42     |    43.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  45     |    46.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  48     |    49.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  50     |    51.5    |     1.6 |      +0.2  |    2.5  |  5  |
|  55     |    57.5    |     2.0 |      +0.3  |    2.5  |  6  |
|  60     |    62.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  65     |    67.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  70     |    72.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  75     |    77.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  80     |    82.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  85     |    87.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  90     |    92.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  95     |    97.5    |     2.0 |      +0.3  |    3.2  |  6  |
|  100    |    102.5   |     2.0 |      +0.3  |    3.2  |  6  |
+---------+------------+---------+------------+---------+-----+
