+------------------------------------------------------------------+----------¬
|                   ТИП МАТЕРИАЛА                                  |ПЛОТНОСТЬ |
|                                                                  | г/куб.см |
+------------------------------------------------------------------+----------+
|            Сталь                                                 |  7.85    |
|            Сталь 60C2A                                           |  7.68    |
|            Сталь ЭИ702                                           |  7.90    |
|            Сталь Э12,Э21                                         |  7.75    |
|            Сталь Э31,Э310,Э340                                   |  7.65    |
|            Сталь Э42                                             |  7.55    |
|            Сталь 50Н                                             |  8.20    |
|            Сталь 65НП                                            |  8.35    |
|            Сталь 80НХС                                           |  8.5     |
|            Сталь 79НМА                                           |  8.85    |
|============================================================================ |
|                ЦВЕТНЫЕ МАТЕРИАЛЫ И СПЛАВЫ                                   |
|============================================================================ |
|            АД1                                                   |  2.71    |
|            Д1                                                    |  2.8     |
|            Д16                                                   |  2.77    |
|            АМц                                                   |  2.73    |
|            В95                                                   |  2.85    |
|            АЛ2                                                   |  2.65    |
|            МЛ5                                                   |  1.80    |
|            M1,M3,MБ                                              |  8.9     |
|            ЛС59,Л62                                              |  8.5     |
|            Бр.ОФ,Бр.ОЦС,                                         |  8.8     |
|            Бр.АЖ,Бр.КМЦ                                          |  7.5     |
|            Бр.ОФ,Бр.ОЦС                                          |  7.6     |
|            Бр.АМЦ                                                |  8.9     |
|            Бр.Б2                                                 |  8.2     |
|=============================================================================|
|                ПЛАСТМАССЫ                                                   |
|=============================================================================|
|            Аминопласт А                                          |  1.45    |
|            Волокнит                                              |  1.4     |
|            Текстолит А                                           |  1.3     |
|            Cтеклотекстолит                                       |  1.9     |
|            Фторопласт А                                          |  2.2     |
|            Полистирол                                            |  1.1     |
|            Органическое стекло                                   |  1.18    |
+------------------------------------------------------------------+----------+
