               Проточки для выхода 
      наружной метрической резьбы ГОСТ 10549-80
+----+----+-----------------------------------+-----+
|шаг |диа-|                пpоточка           |     |
|резь|метp|         типа I          |типа II  |     |
| бы |    | ноpмальная |   узкая    |         |     |
|    |    +----+---+---+----+---+---+----+----+     |
|shr | dr |  b | r |r1 | b  | r |r1 | b  | r  | d3  |
+----+----+----+---+---+----+---+---+----+----+-----+
|0.35| 1.5|  - | - | - | -  | - | - | -  | -  |d-0.6|
|0.40| 2.0| 1.0|0.3|0.2| -  | - | - | -  | -  |d-0.6|
|0.45| 2.5| 1.0|0.3|0.2| -  | - | - | -  | -  |d-0.7|
|0.50| 3.0| 1.6|0.5|0.3| 1.0|0.3|0.2| -  | -  |d-0.8|
|0.60| 3.5| 1.6|0.5|0.3| 1.0|0.3|0.2| -  | -  |d-0.9|
|0.70| 4.0| 2.0|0.5|0.3| 1.6|0.5|0.3| -  | -  |d-1.0|
|0.75| 4.5| 2.0|0.5|0.3| 1.6|0.5|0.3| -  | -  |d-1.2|
|0.80| 5.0| 3.0|1.0|0.5| 1.6|0.5|0.3| -  | -  |d-1.2|
|1.00| 6.0| 3.0|1.0|0.5| 2.0|0.5|0.3| 3.6| 2.0|d-1.5|
|1.25| 8.0| 4.0|1.0|0.5| 2.5|1.0|0.5| 4.4| 2.5|d-1.8|
|1.50|10.0| 4.0|1.0|0.5| 2.5|1.0|0.5| 4.6| 2.5|d-2.2|
|1.75|12.0| 4.0|1.0|0.5| 2.5|1.0|0.5| 5.4| 3.0|d-2.5|
|2.00|16.0| 5.0|1.6|0.5| 3.0|1.0|0.5| 5.6| 3.0|d-3.0|
|2.50|20.0| 6.0|1.6|1.0| 4.0|1.0|0.5| 7.3| 4.0|d-3.5|
|3.00|24.0| 6.0|1.6|1.0| 4.0|1.0|0.5| 7.6| 4.0|d-4.5|
|3.50|30.0| 8.0|2.0|1.5| 5.0|1.5|0.5|10.2| 5.5|d-5.0|
|4.00|36.0| 8.0|2.0|1.0| 5.0|1.5|0.5|10.3| 5.5|d-6.0|
|4.50|42.0|10.0|3.0|1.0| 6.0|1.5|1.0|12.9| 7.0|d-6.5|
|5.00|48.0|10.0|3.0|1.0| 6.0|1.5|1.0|13.1| 7.0|d-7.0|
|5.50|56.0|12.0|3.0|1.0| 8.0|2.0|1.0|15.0| 8.0|d-8.0|
|6.00|64.0|12.0|3.0|1.0| 8.0|2.0|1.0|16.0| 8.5|d-9.0|
+----+----+----+---+---+----+---+---+----+----+-----+
