              Проточки для выхода 
      внутренней метрической резьбы ГОСТ 10549-80
+----+----+-----------------------------------+-----+
|шаг |диа-|                пpоточка           |     |
|резь|метp|         типа I          |типа II  |     |
| бы |    | ноpмальная |   узкая    |         |     |
|    |    +----+---+---+----+---+---+----+----+     |
|shr | dr |  b | r |r1 | b  | r |r1 | b  | r  | d3  |
+----+----+----+---+---+----+---+---+----+----+-----+
|0.35| 1.5| -  | - | - | -  | - | - | -  | -  |  -  |
|0.40| 2.0| -  | - | - | -  | - | - | -  | -  |  -  |   
|0.45| 2.5| -  | - | - | -  | - | - | -  | -  |  -  |
|0.50| 3.0|2.0 |0.5|0.3| 1.0|0.3|0.2| -  | -  |d+0.3|
|0.60| 3.5| -  | - | - | -  | - | - | -  | -  |  -  |
|0.70| 4.0| -  | - | - | -  | - | - | -  | -  |  -  |
|0.75| 4.5|3.0 |1.0|0.5| 1.6|0.5|0.3| -  | -  |d+0.4|
|0.80| 5.0| -  | - | - |  - | - | - | -  | -  |  -  |
|1.00| 6.0|4.0 |1.0|0.5| 2.0|0.5|0.3| 3.6| 2.0|d+0.5|
|1.25| 8.0|5.0 |1.6|0.5| 3.0|1.0|0.5| 4.5| 2.5|d+0.5|
|1.50|10.0|6.0 |1.6|1.0| 3.0|1.0|0.5| 5.4| 3.0|d+0.7|
|1.75|12.0|7.0 |1.6|1.0| 4.0|1.0|0.5| 6.2| 3.5|d+0.7|
|2.00|16.0|8.0 |2.0|1.0| 4.0|1.0|0.5| 6.5| 3.5|d+1.0|
|2.50|20.0|10.0|3.0|1.0| 5.0|1.6|0.5| 8.9| 5.0|d+1.0|
|3.00|24.0|10.0|3.0|1.0| 6.0|1.6|1.0|11.4| 6.5|d+1.2|
|3.50|30.0|10.0|3.0|1.0| 7.0|1.6|1.0|13.1| 7.5|d+1.2|
|4.00|36.0|12.0|3.0|1.0| 8.0|2.0|1.0|14.3| 8.0|d+1.5|
|4.50|42.0|14.0|3.0|1.0|10.0|3.0|1.0|16.6| 9.5|d+1.5|
|5.00|48.0|16.0|3.0|1.0|10.0|3.0|1.0|18.4|10.5|d+1.8|
|5.50|56.0|16.0|3.0|1.0|12.0|3.0|1.0|18.7|10.5|d+1.8|
|6.00|64.0|16.0|3.0|1.0|12.0|3.0|1.0|18.9|10.5|d+2.0|
+---------+----+---+---+----+---+---+----+----+-----+
