      Центровые отверстия с углом конуса 60 градусов по ГОСТ 14034-74
+------+---------+-------+-------+-------+-------+--------+--------+--------+
|  D   |Диаметр  |  d1   |  d2   |  d3   |   l   |   l1   |   l2   |   l3   |
|      | центр.  |       |       |       |       |        |        |        |
|      |отверстия|       |       |       |       |        |        |        |
+------+---------+-------+-------+-------+-------+--------+--------+--------+
|  4   |   1.0   | 2.12  | 3.15  |   -   |  1.3  |  0.97  |  1.27  |    -   |
|  5   |   1.25  | 2.65  | 4.00  |   -   |  1.6  |  1.21  |  1.60  |    -   |
|  6   |   1.6   | 3.35  | 5.00  |   -   |  2.0  |  1.52  |  1.99  |    -   |
| 10   |   2.0   | 4.25  | 6.30  |  7.0  |  2.5  |  1.95  |  2.54  |   0.6  |
| 14   |   2.5   | 5.30  | 8.00  |  9.0  |  3.1  |  2.42  |  3.20  |   0.8  |
| 20   |   3.15  | 6.70  |10.00  | 12.0  |  3.9  |  3.07  |  4.03  |   0.9  |
| 30   |   4     | 8.50  |12.50  | 16.0  |  5.0  |  3.90  |  5.06  |   1.2  |
| 40   |   5     |10.60  |16.00  | 20.0  |  6.3  |  4.85  |  6.41  |   1.6  |
| 60   |   6.3   |13.20  |18.00  | 25.0  |  8.0  |  5.98  |  7.36  |   1.8  |
| 80   |   8     |17.0   |22.40  | 32.0  | 10.1  |  7.79  |  9.35  |   2.0  |
|100   |  10     |21.20  |28.0   | 36.0  | 12.8  |  9.70  | 11.66  |   2.5  |
|120   |  12     |25.40  |33.0   |   -   | 14.6  | 11.60  | 13.80  |    -   |
+------+---------+-------+-------+-------+-------+--------+--------+--------+
