       Размеры наружных трубных цилиндрических резьб ГОСТ 6357-81
               и проточек под них по ГОСТ 10549-80 в мм.
+--------------+-----+-------+-------------------------+-----+------+---+---+---+-------------+-------+
| Обозначение  |Шаг  |Наpуж- |       пpоточка          |     |Высота|Чис|Фас|не-| Обозначение |Глубина|
|    pезьбы    |резь | ный   | ноpмальная |   узкая    |     |проф. |ло | ка|до-| (служебное) |канавки|
|------+-------+ бы  |диаметp+----+---+---+----+---+---+     |pезьбы|на |   |рез|             |(слу-  |
|1 pяд |2 pяд  |     |       |  b | r |r1 | b  | r |r1 | d3  |      |1" |   |   |             |жебное)|
+------+-------+-----+-------+----+---+---+----+---+---+-----+------+---+---+---+-------------+-------+
|G 1/16"       |0.907|  7.723| 2.5|1  |0.5| 1.6|0.5|0.3| 6.0 | 0.581| 28|1  |2.5|G7.723x0.907 |d-1.723|
|G 1/8"        |0.907|  9.728| 2.5|1  |0.5| 1.6|0.5|0.3| 8.0 | 0.581| 28|1  |2.5|G9.728x0.907 |d-1.728|
|G 1/4"        |1.337| 13.157| 4.0|1  |0.5| 2.5|1  |0.5|11.0 | 0.856| 19|1.6|4  |G13.157x1.337|d-2.157|
|G 3/8"        |1.337| 16.662| 4.0|1  |0.5| 2.5|1  |0.5|14.5 | 0.856| 19|1.6|4  |G16.662x1.337|d-2.162|
|G 1/2"        |1.814| 20.955| 5  |1.6|0.5| 3  |1  |0.5|18.0 | 1.162| 14|2  |5  |G20.955x1.814|d-2.955|
|        G 5/8"|1.814| 22.911| 5  |1.6|0.5| 3  |1  |0.5|20.0 | 1.162| 14|2  |5  |G22.911x1.814|d-2.911|
|G 3/4"        |1.814| 26.441| 5  |1.6|0.5| 3  |1  |0.5|23.5 | 1.162| 14|2  |5  |G26.441x1.814|d-2.911|
|        G 7/8"|1.814| 30.201| 5  |1.6|0.5| 3  |1  |0.5|27.0 | 1.162| 14|2  |5  |G30.201x1.814|d-3.201|
|G 1"          |2.309| 33.249| 6  |1.6|1  | 4  |1  |0.5|29.5 | 1.479| 11|2.5|6  |G33.249x2.309|d-3.749|
|      G 1 1/8"|2.309| 37.897| 6  |1.6|1  | 4  |1  |0.5|34.0 | 1.479| 11|2.5|6  |G37.897x2.309|d-3.897|
|G 1 1/4"      |2.309| 41.910| 6  |1.6|1  | 4  |1  |0.5|38.0 | 1.479| 11|2.5|6  |G41.91x2.309 |d-3.910|
|      G 1 3/8"|2.309| 44.323| 6  |1.6|1  | 4  |1  |0.5|40.5 | 1.479| 11|2.5|6  |G44.323x2.309|d-3.823|
|G 1 1/2"      |2.309| 47.803| 6  |1.6|1  | 4  |1  |0.5|44.0 | 1.479| 11|2.5|6  |G47.803x2.309|d-3.803|
|      G 1 3/4"|2.309| 53.746| 6  |1.6|1  | 4  |1  |0.5|50.0 | 1.479| 11|2.5|6  |G53.746x2.309|d-3.746|
|G 2"          |2.309| 59.614| 6  |1.6|1  | 4  |1  |0.5|56.0 | 1.479| 11|2.5|6  |G59.614x2.309|d-3.614|
|      G 2 1/4"|2.309| 65.710| 6  |1.6|1  | 4  |1  |0.5|62.0 | 1.479| 11|2.5|6  |G65.71x2.309 |d-3.710|
|G 2 1/2"      |2.309| 75.184| 6  |1.6|1  | 4  |1  |0.5|71.5 | 1.479| 11|2.5|6  |G75.184x2.309|d-3.684|
|      G 2 3/4"|2.309| 81.534| 6  |1.6|1  | 4  |1  |0.5|78.0 | 1.479| 11|2.5|6  |G81.534x2.309|d-3.534|
|G 3"          |2.309| 87.884| 6  |1.6|1  | 4  |1  |0.5|84.0 | 1.479| 11|2.5|6  |G87.884x2.309|d-3.884|
|      G 3 1/4"|2.309| 93.980| 6  |1.6|1  | 4  |1  |0.5|90.5 | 1.479| 11|2.5|6  |G93.98x2.309 |d-3.480|
|G 3 1/2"      |2.309|100.330| 6  |1.6|1  | 4  |1  |0.5|96.5 | 1.479| 11|2.5|6  |G100.33x2.309|d-3.830|
|      G 3 3/4"|2.309|106.680| 6  |1.6|1  | 4  |1  |0.5|102.5| 1.479| 11|2.5|6  |G106.68x2.309|d-4.180|
|G 4"          |2.309|113.030| 6  |1.6|1  | 4  |1  |0.5|109.0| 1.479| 11|2.5|6  |G113.03x2.309|d-4.030|
|      G 4 1/2"|2.309|125.730| 6  |1.6|1  | 4  |1  |0.5|122.0| 1.479| 11|2.5|6  |G125.73x2.309|d-3.730|
|G 5"          |2.309|138.430| 6  |1.6|1  | 4  |1  |0.5|134.5| 1.479| 11|2.5|6  |G138.43x2.309|d-3.930|
|      G 5 1/2"|2.309|151.130| 6  |1.6|1  | 4  |1  |0.5|147.0| 1.479| 11|2.5|6  |G151.13x2.309|d-4.130|
|G 6"          |2.309|163.830| 6  |1.6|1  | 4  |1  |0.5|160.0| 1.479| 11|2.5|6  |G163.83x2.309|d-3.830|
+-----------------------------------------------------------------------------------------------------+
