             Размеры внутренних трубных цилиндрических резьб ГОСТ 6357-81
                      и проточек под них по ГОСТ 10549-80 в мм.
+--------------+-----+-------+-------------------------+-----+------+---+---+---+-------------+-------+
| Обозначение  |Шаг  |Наpуж- |       пpоточка          |     |Высота|Чис|Фас|не-| Обозначение |Глубина|
|    pезьбы    |резь | ный   | ноpмальная |   узкая    |     |проф. |ло | ка|до-| (служебное) |канавки|
|------+-------+ бы  |диаметp+----+---+---+----+---+---+     |pезьбы|на |   |рез|             |(слу-  |
|1 pяд |2 pяд  |     |       |  b | r |r1 | b  | r |r1 | d3  |      |1" |   |   |             |жебное)|
+------+-------+-----+-------+----+---+---+----+---+---+-----+------+---+---+---+-------------+-------+
|G 1/16"       |0.907|  7.723| 4  |1  |0.5| 2.5|0.5|0.5| 8.0 | 0.581| 28|1  |4  |G7.723x0.907 |d+0.277|
|G 1/8"        |0.907|  9.728| 4  |1  |0.5| 2.5|0.5|0.5|10.0 | 0.581| 28|1  |4  |G9.728x0.907 |d+0.272|
|G 1/4"        |1.337| 13.157| 5  |1.6|0.5| 3.0|1  |0.5|13.5 | 0.856| 19|1  |5  |G13.157x1.337|d+0.343|
|G 3/8"        |1.337| 16.662| 5  |1.6|0.5| 3.0|1  |0.5|17.0 | 0.856| 19|1  |5  |G16.662x1.337|d+0.338|
|G 1/2"        |1.814| 20.955| 8  | 2 |1  | 5  |1.6|0.5|21.5 | 1.162| 14|1.6|8  |G20.955x1.814|d+0.545|
|        G 5/8"|1.814| 22.911| 8  | 2 |1  | 5  |1.6|0.5|23.5 | 1.162| 14|1.6|8  |G22.911x1.814|d+0.589|
|G 3/4"        |1.814| 26.441| 8  | 2 |1  | 5  |1.6|0.5|27.0 | 1.162| 14|1.6|8  |G26.441x1.814|d+0.559|
|        G 7/8"|1.814| 30.201| 8  | 2 |1  | 5  |1.6|0.5|31.0 | 1.162| 14|1.6|8  |G30.201x1.814|d+0.799|
|G 1"          |2.309| 33.249| 10 | 3 |1  | 6  |1.6| 1 |34.0 | 1.479| 11|1.6|10 |G33.249x2.309|d+0.751|
|      G 1 1/8"|2.309| 37.897| 10 | 3 |1  | 6  |1.6| 1 |39.0 | 1.479| 11|1.6|10 |G37.897x2.309|d+1.103|
|G 1 1/4"      |2.309| 41.910| 10 | 3 |1  | 6  |1.6| 1 |43.0 | 1.479| 11|1.6|10 |G41.91x2.309 |d+1.090|
|      G 1 3/8"|2.309| 44.323| 10 | 3 |1  | 6  |1.6| 1 |45.0 | 1.479| 11|1.6|10 |G44.323x2.309|d+0.677|
|G 1 1/2"      |2.309| 47.803| 10 | 3 |1  | 6  |1.6| 1 |48.5 | 1.479| 11|1.6|10 |G47.803x2.309|d+0.697|
|      G 1 3/4"|2.309| 53.746| 10 | 3 |1  | 6  |1.6| 1 |54.5 | 1.479| 11|1.6|10 |G53.746x2.309|d+0.754|
|G 2"          |2.309| 59.614| 10 | 3 |1  | 6  |1.6| 1 |60.5 | 1.479| 11|1.6|10 |G59.614x2.309|d+0.886|
|      G 2 1/4"|2.309| 65.710| 10 | 3 |1  | 6  |1.6| 1 |66.5 | 1.479| 11|1.6|10 |G65.71x2.309 |d+0.790|
|G 2 1/2"      |2.309| 75.184| 10 | 3 |1  | 6  |1.6| 1 |76.0 | 1.479| 11|1.6|10 |G75.184x2.309|d+0.816|
|      G 2 3/4"|2.309| 81.534| 10 | 3 |1  | 6  |1.6| 1 |82.5 | 1.479| 11|1.6|10 |G81.534x2.309|d+0.966|
|G 3"          |2.309| 87.884| 10 | 3 |1  | 6  |1.6| 1 |89.0 | 1.479| 11|1.6|10 |G87.884x2.309|d+1.116|
|      G 3 1/4"|2.309| 93.980| 10 | 3 |1  | 6  |1.6| 1 |95.0 | 1.479| 11|1.6|10 |G93.98x2.309 |d+1.020|
|G 3 1/2"      |2.309|100.330| 10 | 3 |1  | 6  |1.6| 1 |101.0| 1.479| 11|1.6|10 |G100.33x2.309|d+0.670|
|      G 3 3/4"|2.309|106.680| 10 | 3 |1  | 6  |1.6| 1 |107.5| 1.479| 11|1.6|10 |G106.68x2.309|d+0.820|
|G 4"          |2.309|113.030| 10 | 3 |1  | 6  |1.6| 1 |114.0| 1.479| 11|1.6|10 |G113.03x2.309|d+0.970|
|      G 4 1/2"|2.309|125.730| 10 | 3 |1  | 6  |1.6| 1 |126.5| 1.479| 11|1.6|10 |G125.73x2.309|d+0.770|
|G 5"          |2.309|138.430| 10 | 3 |1  | 6  |1.6| 1 |139.0| 1.479| 11|1.6|10 |G138.43x2.309|d+0.570|
|      G 5 1/2"|2.309|151.130| 10 | 3 |1  | 6  |1.6| 1 |152.0| 1.479| 11|1.6|10 |G151.13x2.309|d+0.870|
|G 6"          |2.309|163.830| 10 | 3 |1  | 6  |1.6| 1 |165.0| 1.479| 11|1.6|10 |G163.83x2.309|d+1.170|
+--------------+-----+-------+----+---+---+----+---+---+-----+------+---+---+---+-------------+-------+
