              КАНАВКИ под шайбы быстросьемные               ШАЙБЫ
+-----------+----------+---------+------------+----------+-------+-------¬
|           |          |         | Расстояние |допуск на |ширина |внешний|
| диаметр   | диаметр  | ширина  | от торца   |диаметр   |сечения|диаметр|
|  вала     | канавки  | канавки | до канавки |канавки   |шайбы  |шайбы  |
|           |          |         |            |          |       |       |
|   d       |   d1     |   b1    |            |          |  s    |   D   |
+-----------+----------+---------+------------+----------+-------+-------+
|  1.9- 2.5 |  1.6     |  0.5    |    0.4     | +0.05    |  0.4  |  4    |
|  2.5- 4   |  2.0     |  0.5    |    0.8     | +0.05    |  0.4  |  6    |
|  4  - 6   |  3.0     |  0.7    |    1.2     | +0.05    |  0.6  |  9    |
|  6  - 8   |  5.0     |  0.9    |    1.2     | +0.05    |  0.8  | 12    |
|  8  -10   |  7.0     |  1.1    |    1.2     | +0.05    |  1    | 15    |
| 10  -12.5 |  9.0     |  1.4    |    2.0     | +0.05    |  1.2  | 18    |
| 12.5-16   |  12.0    |  1.4    |    2.5     | +0.05    |  1.2  | 24    |
| 16  -20   |  15.0    |  1.8    |    3.5     | +0.07    |  1.6  | 30    |
+-----------+----------+---------+------------+----------+-------+--------

