 наружные КАНАВКИ под кольца пружинн. упорные плоские [      КОЛЬЦА        ]
+---------+---------+---------+-----------+-----------+------+------+------¬
|         |         |         |Расстояние | допуск на |ширина|высота|высота|
| диаметр | диаметр | ширина  |от торца   | диаметр   |кольца|концен|эксцен|
|  вала   | канавки | канавки |до канавки | канавки   |      |тричес|тричес|
|         |         |         |           |           |      |кое   | кое  |
|    d    |    d1   |   b1    |   b2      |           |  s   |  b   |  b   |
+---------+---------+---------+-----------+-----------+------+------+------+
| 4       |   3.6   |   0.5   |    0.6    |  -0.048   |      |      |      |
| 5       |   4.6   |   0.7   |    0.6    |  -0.048   |      |      |      |
| 6       |   5.6   |   0.8   |    0.6    |  -0.048   |      |      |      |
| 7       |   6.6   |   0.9   |    0.6    |  -0.1     | 0.8  | 1.2  | 1.3  |
| 8       |   7.5   |   1.2   |    0.75   |  -0.1     | 1.0  | 1.7  | 1.9  |
| 9       |   8.5   |   1.2   |    0.75   |  -0.1     | 1.0  | 1.7  | 2.0  |
| 10      |   9.5   |   1.2   |    0.75   |  -0.1     | 1.0  | 1.7  | 2.1  |
| 12      |   11.3  |   1.2   |    1.1    |  -0.12    | 1.0  | 2.0  | 2.2  |
| 13      |   12.2  |   1.2   |    1.2    |  -0.12    | 1.0  | 2.0  | 2.2  |
| 14      |   13.2  |   1.2   |    1.1    |  -0.12    | 1.2  | 2.0  | 2.4  |
| 15      |   14.1  |   1.2   |    1.4    |  -0.12    | 1.2  | 2.0  | 2.4  |
| 16      |   15.0  |   1.4   |    1.4    |  -0.12    | 1.2  | 2.5  | 2.6  |
| 17      |   16.0  |   1.4   |    1.5    |  -0.12    | 1.2  | 2.5  | 2.6  |
| 18      |   16.8  |   1.4   |    1.8    |  -0.12    | 1.2  | 2.5  | 2.8  |
| 20      |   18.6  |   1.4   |    2.1    |  -0.14    | 1.2  | 3.2  | 3.2  |
| 22      |   20.6  |   1.4   |    2.1    |  -0.14    | 1.2  | 3.2  | 3.2  |
| 24      |   22.5  |   1.4   |    2.3    |  -0.14    | 1.2  | 3.2  | 3.6  |
| 25      |   23.5  |   1.4   |    2.3    |  -0.14    | 1.2  | 4.0  | 3.6  |
| 26      |   24.5  |   1.4   |    2.3    |  -0.14    | 1.2  | 4.0  | 4.0  |
| 28      |   26.5  |   1.4   |    2.3    |  -0.28    | 1.2  | 4.0  | 4.0  |
| 30      |   28.5  |   1.4   |    2.3    |  -0.28    | 1.2  | 4.0  | 4.0  |
| 32      |   30.2  |   1.4   |    2.7    |  -0.34    | 1.2  | 4.0  | 4.4  |
| 34      |   32.2  |   1.4   |    2.7    |  -0.34    | 1.2  | 4.0  | 4.4  |
| 35      |   33    |   1.9   |    3      |  -0.34    | 1.7  | 5.0  | 4.9  |
| 36      |   34    |   1.9   |    3      |  -0.34    | 1.7  | 5.0  | 4.9  |
| 38      |   36    |   1.9   |    3      |  -0.34    | 1.7  | 5.0  | 4.9  |
| 40      |   37.5  |   1.9   |    3.8    |  -0.34    | 1.7  | 5.0  | 5.5  |
| 42      |   39.5  |   1.9   |    3.8    |  -0.34    | 1.7  | 5.0  | 5.5  |
| 45      |   42.5  |   1.9   |    3.8    |  -0.34    | 1.7  | 5.0  | 5.5  |
| 48      |   45.5  |   1.9   |    3.8    |  -0.34    | 1.7  | 5.0  | 5.5  |
| 50      |   47    |   2.2   |    4.5    |  -0.34    | 2.0  | 6.0  | 6.0  |
| 52      |   49    |   2.2   |    4.5    |  -0.34    | 2.0  | 6.0  | 6.0  |
| 55      |   52    |   2.2   |    4.5    |  -0.4     | 2.0  | 6.0  | 6.0  |
| 58      |   55    |   2.2   |    4.5    |  -0.4     | 2.0  | 6.0  | 6.5  |
| 60      |   57    |   2.2   |    4.5    |  -0.4     | 2.0  | 6.0  | 6.5  |
| 65      |   62    |   2.8   |    4.5    |  -0.4     | 2.5  | 7.0  | 6.5  |
| 70      |   67    |   2.8   |    4.5    |  -0.4     | 2.5  | 7.0  | 7.0  |
| 75      |   72    |   2.8   |    4.5    |  -0.4     | 2.5  | 7.0  | 8.0  |
| 80      |   76.5  |   2.8   |    5.3    |  -0.4     | 2.5  | 8.0  | 8.0  |
| 85      |   81.5  |   2.8   |    5.3    |  -0.46    | 2.5  | 8.0  | 8.0  |
| 90      |   86.5  |   3.4   |    5.3    |  -0.46    | 3.0  | 8.5  | 9.0  |
| 95      |   91.5  |   3.4   |    5.3    |  -0.46    | 3.0  | 8.5  | 9.0  |
| 100     |   96.5  |   3.4   |    5.3    |  -0.46    | 3.0  | 8.5  | 9.0  |
| 105     |   100   |   3.4   |    7.5    |  -0.46    | 3.0  | 9.5  | 10   |
| 110     |   105   |   3.4   |    7.5    |  -0.46    | 3.0  | 9.5  | 10   |
| 115     |   110   |   3.4   |    7.5    |  -0.46    | 3.0  | 9.5  | 10   |
+---------+---------+---------+-----------+-----------+------+------+-------

