     КАНАВКИ под внутренние пружинные
      плоские кольца ГОСТ 13941-68                   КОЛЬЦА
+---------+------------+---------+------------+--------+--------+--------¬
|         | внутренний | ширина  | допуск на  |ширина  |высота  |высота  |
|диаметр  | диаметр    | канавки | внутренний |сечения |сечения |сечения |
|отверстия|            |         | диаметр    |кольца  |концентр|эксцентр|
|  d      |     d1     |   b1    |            |   s    | кольца |кольца  |
+---------+------------+---------+------------+--------+--------+--------+
| 14      |  14.8      |  1      |  +0.12     |   1    |  1.7   |  2     |
| 15      |  15.9      |  1      |  +0.12     |   1    |  1.7   |  2     |
| 16      |  17        |  1      |  +0.12     |   1    |  1.7   |  2.2   |
| 17      |  18        |  1      |  +0.12     |   1    |  1.7   |  2.2   |
| 18      |  19.2      |  1      |  +0.14     |   1    |  2     |  2.2   |
| 20      |  21.4      |  1      |  +0.14     |   1    |  2     |  2.4   |
| 21      |  22.4      |  1      |  +0.14     |   1    |  2     |  2.4   |
| 22      |  23.4      |  1      |  +0.14     |   1    |  2     |  2.7   |
| 23      |  24.5      |  1.4    |  +0.14     |   1.2  |  2.5   |  2.7   |
| 24      |  25.5      |  1.4    |  +0.14     |   1.2  |  2.5   |  2.7   |
| 25      |  26.5      |  1.4    |  +0.14     |   1.2  |  2.5   |  3.1   |
| 26      |  27.5      |  1.4    |  +0.14     |   1.2  |  2.5   |  3.1   |
| 28      |  29.5      |  1.4    |  +0.28     |   1.2  |  2.5   |  3.1   |
| 30      |  31.5      |  1.4    |  +0.34     |   1.2  |  2.5   |  3.1   |
| 32      |  33.8      |  1.4    |  +0.34     |   1.2  |  2.5   |  3.5   |
| 35      |  37        |  1.4    |  +0.34     |   1.2  |  3.2   |  3.5   |
| 36      |  38        |  1.4    |  +0.34     |   1.2  |  3.2   |  3.9   |
| 37      |  39        |  1.4    |  +0.34     |   1.2  |  3.2   |  3.9   |
| 38      |  40        |  1.4    |  +0.34     |   1.2  |  3.2   |  3.9   |
| 40      |  42.5      |  1.9    |  +0.34     |   1.7  |  4     |  4.2   |
| 42      |  44.5      |  1.9    |  +0.34     |   1.7  |  4     |  4.2   |
| 45      |  47.5      |  1.9    |  +0.34     |   1.7  |  4     |  4.2   |
| 47      |  49.5      |  1.9    |  +0.4      |   1.7  |  4     |  4.5   |
| 50      |  53        |  1.9    |  +0.4      |   1.7  |  4     |  4.5   |
| 52      |  55        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 55      |  58        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 56      |  59        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 58      |  61        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 60      |  63        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 62      |  65        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 65      |  68        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 68      |  71        |  1.9    |  +0.4      |   1.7  |  5     |  5.1   |
| 70      |  73        |  1.9    |  +0.4      |   1.7  |  5     |  6.1   |
| 72      |  75        |  1.9    |  +0.4      |   1.7  |  5     |  6.1   |
| 75      |  78        |  1.9    |  +0.4      |   1.7  |  5     |  6.1   |
| 80      |  83.5      |  2.2    |  +0.46     |   2    |  6     |  6.1   |
| 85      |  88.5      |  2.2    |  +0.46     |   2    |  6     |  6.1   |
| 90      |  93.5      |  2.2    |  +0.46     |   2    |  6     |  7.3   |
| 95      |  98.5      |  2.2    |  +0.46     |   2    |  6     |  7.3   |
| 100     |  103.5     |  2.2    |  +0.46     |   2    |  6     |  7.3   |
| 105     |  109       |  2.8    |  +0.46     |   2.5  |  7     |  7.3   |
| 110     |  114       |  2.8    |  +0.46     |   2.5  |  7     |  8.5   |
| 115     |  119       |  2.8    |  +0.46     |   2.5  |  7     |  8.5   |
| 120     |  124       |  2.8    |  +0.53     |   2.5  |  7     |  8.5   |
| 125     |  129       |  2.8    |  +0.53     |   2.5  |  7     |  9.7   |
| 130     |  134       |  2.8    |  +0.53     |   2.5  |  8     |  9.7   |
| 135     |  139       |  2.8    |  +0.53     |   2.5  |  8     |  9.7   |
| 140     |  144       |  2.8    |  +0.53     |   2.5  |  8     |  9.7   |
| 145     |  149       |  2.8    |  +0.53     |   2.5  |  8     |  9.7   |
| 150     |  155       |  3.4    |  +0.53     |   3    |  8.5   |  11    |
| 155     |  160       |  3.4    |  +0.53     |   3    |  8.5   |  11    |
| 160     |  165       |  3.4    |  +0.53     |   3    |  8.5   |  11    |
| 165     |  170       |  3.4    |  +0.53     |   3    |  8.5   |  11    |
| 170     |  175       |  3.4    |  +0.53     |   3    |  8.5   |  11    |
| 175     |  180       |  3.4    |  +0.53     |   3    |  9.5   |  12.3  |
| 180     |  185       |  3.4    |  +0.6      |   3    |  9.5   |  12.3  |
| 190     |  195       |  3.4    |  +0.6      |   3    |  9.5   |  12.3  |
| 200     |  205       |  3.4    |  +0.6      |   3    |  9.5   |  12.3  |
| 210     |  215       |  3.4    |  +0.6      |   3    |  10.5  |  12.3  |
| 215     |  221       |  3.4    |  +0.6      |   3    |  10.5  |  12.3  |
| 220     |  226       |  3.4    |  +0.6      |   3    |  10.5  |  12.3  |
+---------+------------+---------+------------+--------+--------+---------

