       ПРИЗМАТИЧЕСКИЕ ШПОНКИ ( размеры сечений шпонок и пазов )           
                   ГОСТ 23360-78, РАЗМЕРЫ в ММ                             
+----------------+----------------+------------+---------------+---------¬
|        ДИАМЕТР |    РАЗМЕРЫ     |  ГЛУБИНА   | РАДИУС ЗАКРУГ-|ЗНАЧЕНИЕ |
|         ВАЛА   | СЕЧЕНИЙ ШПОНОК |   ПАЗА     | ЛЕНИЯ ПАЗОВ   |ШЕРОХОВА-|
|                +-------+--------+-----+------+--------+------+ТОСТИ    |
|                |ширина | высота |вала |втулки|  наим. | наиб.|паза     |
+----------------+-------+--------+-----+------+--------+------+---------+
|     6  -  8    |    2  |    2   | 1.2 |  1.0 |  0.08  | 0.16 |  0.8    |
|     8  -  10   |    3  |    3   | 1.8 |  1.4 |  0.08  | 0.16 |  0.8    |
|    10  -  12   |    4  |    4   | 2.5 |  1.8 |  0.08  | 0.16 |  0.8    |
|    12  -  17   |    5  |    5   | 3.0 |  2.3 |  0.16  | 0.25 |  0.8    |
|    17  -  22   |    6  |    6   | 3.5 |  2.8 |  0.16  | 0.25 |  0.8    |
|    22  -  30   |    8  |    7   | 4.0 |  3.3 |  0.16  | 0.25 |  0.8    |
|    30  -  38   |   10  |    8   | 5.0 |  3.3 |  0.25  | 0.40 |  0.8    |
|    38  -  44   |   12  |    8   | 5.0 |  3.3 |  0.25  | 0.40 |  0.8    |
|    44  -  50   |   14  |    9   | 5.5 |  3.8 |  0.25  | 0.40 |  0.8    |
|    50  -  58   |   16  |   10   | 6.0 |  4.3 |  0.25  | 0.40 |  0.8    |
|    58  -  65   |   18  |   11   | 7.0 |  4.4 |  0.25  | 0.40 |  0.8    |
|    65  -  75   |   20  |   12   | 7.5 |  4.9 |  0.40  | 0.60 |  0.8    |
|    75  -  85   |   22  |   14   | 9.0 |  5.4 |  0.40  | 0.60 |  0.8    |
|    85  -  95   |   25  |   14   | 9.0 |  5.4 |  0.40  | 0.60 |  0.8    |
|    95  - 110   |   28  |   16   |10.0 |  6.4 |  0.40  | 0.60 |  0.8    |
|   110  - 130   |   32  |   18   |11.0 |  7.4 |  0.40  | 0.60 |  0.8    |
|   130 -  150   |   36  |   20   |12.0 |  8.4 |  0.70  | 1.00 |  0.8    |
|   150 -  170   |   40  |   22   |13.0 |  9.4 |  0.70  | 1.00 |  0.8    |
|   170 -  200   |   45  |   25   |15.0 | 10.4 |  0.70  | 1.00 |  0.8    |
|   200 -  230   |   50  |   28   |17.0 | 11.4 |  0.70  | 1.00 |  0.8    |
|   230 -  260   |   56  |   32   |20.0 | 12.4 |  1.20  | 1.60 |  0.8    |
|   260 -  290   |   63  |   32   |20.0 | 12.4 |  1.20  | 1.60 |  0.8    |
|   290 -  330   |   70  |   36   |22.0 | 14.4 |  1.20  | 1.60 |  0.8    |
|   330 -  380   |   80  |   40   |25.0 | 15.4 |  2.00  | 2.50 |  0.8    |
|   380 -  440   |   90  |   45   |28.0 | 17.4 |  2.00  | 2.50 |  0.8    |
|   440 -  500   |  100  |   50   |31.0 | 19.5 |  2.00  | 2.50 |  0.8    |
+----------------+-------+--------+-----+------+--------+------+----------
     ПРИМЕЧАНИЕ.  Наименьший радиус закругления пазов должен
                соблюдаться в ответственных шпоночных соединениях.

