     ПРИЗМАТИЧЕСКИЕ ШПОНКИ (размеры сечений высоких шпонок и пазов)
                      ГОСТ 10748-68, РАЗМЕРЫ в ММ
+----------------+----------------+-------------+---------------+---------¬
|        ДИАМЕТР |    РАЗМЕРЫ     |   ГЛУБИНА   | РАДИУС ЗАКРУГ-|ЗНАЧЕНИЕ |
|         ВАЛА   | СЕЧЕНИЙ ШПОНОК |    ПАЗА     | ЛЕНИЯ ПАЗОВ   |ШЕРОХОВА-|
|                +-------+--------+------+------+--------+------+ТОСТИ    |
|                |ширина | высота | вала |втулки|  наим. | наиб.|паза     |
+----------------+-------+--------+------+------+--------+------+---------+
|   30  -  38    |   10  |    9   |  5.5 |  3.8 |  0.25  |  0.4 | 0.8     |
|   38  -  44    |   12  |   11   |  7.0 |  4.4 |  0.25  |  0.4 | 0.8     |
|   44  -  50    |   14  |   12   |  7.5 |  4.9 |  0.25  |  0.4 | 0.8     |
|   50  -  58    |   16  |   14   |  9.0 |  5.4 |  0.25  |  0.4 | 0.8     |
|   58  -  65    |   18  |   16   | 10.0 |  6.4 |  0.25  |  0.4 | 0.8     |
|   65  -  75    |   20  |   18   | 11.0 |  7.4 |  0.40  |  0.6 | 0.8     |
|   75  -  85    |   22  |   20   | 12.0 |  8.4 |  0.40  |  0.6 | 0.8     |
|   85  -  95    |   25  |   22   | 13.0 |  9.4 |  0.40  |  0.6 | 0.8     |
|   95  -  110   |   28  |   25   | 15.0 | 10.4 |  0.40  |  0.6 | 0.8     |
|   110 -  130   |   32  |   28   | 17.0 | 11.4 |  0.40  |  0.6 | 0.8     |
|   130 -  150   |   36  |   32   | 20.0 | 12.4 |  0.70  |  1.0 | 0.8     |
|   150 -  170   |   40  |   36   | 22.0 | 14.4 |  0.70  |  1.0 | 0.8     |
|   170 -  200   |   45  |   40   | 25.0 | 15.4 |  0.70  |  1.0 | 0.8     |
|   200 -  230   |   50  |   45   | 28.0 | 17.4 |  0.70  |  1.0 | 0.8     |
|   230 -  260   |   56  |   50   | 31.0 | 19.5 |  1.20  |  1.6 | 0.8     |
|   260 -  290   |   63  |   60   | 36.0 | 24.5 |  1.20  |  1.6 | 0.8     |
|   290 -  330   |   70  |   65   | 39.0 | 26.5 |  1.20  |  1.6 | 0.8     |
|   330 -  380   |   80  |   75   | 44.0 | 31.5 |  2.00  |  2.5 | 0.8     |
|   380 -  440   |   90  |   85   | 49.0 | 36.5 |  2.00  |  2.5 | 0.8     |
|   440 -  500   |  100  |   95   | 54.0 | 41.5 |  2.00  |  2.5 | 0.8     |
+----------------+-------+--------+------+------+--------+------+----------

