                Сегментные шпонки фиксирующие элементы
+----------------------------------------------------------------------------¬
|     SHAFT    |        размеры шпонок             | глубина | FILLET  |Roug-|
|   diameter   |--------------------------  фаска  | паза    | RADIUS  |ness |
|              |ширина|высота|диаме|длина+----+----+----+----+         |value|
|              |      |      |     |     |max.|min.|shaf|hub +----+----+     |
|              |      |      |     |     |    |    |    |    |max.|min.|     |
+--------------+------+------+-----+-----+----+----+----+----+----+---------++
|   3  -  4    |  1   |  1.4 | 4   |  3.8|0.05|0.08| 1  | 0.6| 0  |0.05| 0.8||
|   4  -  6    |  1.5 |  2.6 | 7   |  6.8|0.05|0.08| 2  | 0.8| 0  |0.05| 0.8||
|   6  -  8    |  2.0 |  2.6 | 7   |  6.8|0.16|0.25| 1.8| 1.0|0.08|0.16| 0.8||
|   8  - 10    |  2.0 |  3.7 | 10.0|  9.7|0.16|0.25| 2.9| 1.0|0.08|0.16| 0.8||
|  10  - 12    |  2.5 |  3.7 | 10.0|  9.7|0.16|0.25| 2.7| 1.2|0.08|0.16| 0.8||
|  12  - 15    |  3.0 |  5.0 | 13.0| 12.6|0.16|0.25| 3.8| 1.4|0.08|0.16| 0.8||
|  15  - 18    |  4.0 |  6.5 | 16.0| 15.7|0.16|0.25| 5.3| 1.4|0.08|0.16| 0.8||
|  18  - 20    |  4.0 |  6.5 | 16.0| 15.7|0.25|0.40| 5.0| 1.8|0.16|0.25| 0.8||
|  20  - 22    |  4.0 |  7.5 | 19.0| 18.6|0.25|0.40| 6.0| 1.8|0.16|0.25| 0.8||
|  22  - 25    |  5.0 |  6.5 | 16.0| 21.6|0.25|0.40| 4.5| 2.3|0.16|0.25| 0.8||
|  25  - 28    |  5.0 |  7.5 | 19.0| 24.5|0.25|0.40| 5.5| 2.3|0.16|0.25| 0.8||
|  28  - 32    |  5.0 |  9.0 | 22.0| 27.3|0.25|0.40| 7.0| 2.3|0.16|0.25| 0.8||
|  32  - 36    |  6.0 |  9.0 | 22.0| 27.3|0.25|0.40| 6.5| 2.8|0.16|0.25| 0.8||
|  36  - 40    |  6.0 | 10.0 | 25.0| 31.4|0.25|0.40| 7.5| 2.8|0.16|0.25| 0.8||
|  40  - 50    |  8.0 | 11.0 | 28.0| 37.1|0.25|0.40| 8.0| 3.3|0.16|0.25| 0.8||
+--------------+------+------+-----+-----+----+----+----+----+----+----+----+-

