               ÿÀ»÷≈¬€≈ œ–ﬂÃŒ¡Œ◊Õ€≈ —Œ≈ƒ»Õ≈Õ»ﬂ √Œ—“ 1139-80, –¿«Ã≈–€ ‚ ÃÃ
+------+-------+----------+--------+--------+-------+-------+--------+----------------+
|      |ƒ»¿Ã≈“–| ƒ»¿Ã≈“–  | ÿ»–»Õ¿ |        |       |       |        |   Œ·ÓÁÌ‡˜ÂÌËÂ  |
|◊»—ÀŒ |Œ –”∆Õ.|Œ –”∆ÕŒ—“»| «”¡¿   |   d1   |  a    |  f    |   r    |                |
|«”¡‹≈¬|¬œ¿ƒ»Õ | ¬€—“”œŒ¬ |        |        |       |       |        |                |
|      |       |          |        |        |       |       |        |                |
+------+-------+----------+--------+--------+-------+-------+--------+----------------+
|                          À≈√ ¿ﬂ —≈–»ﬂ                              |                |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|    6 |   23  |     26   |     6  |  22.1  |  3.54 |  0.3  |  0.2   |  6x23x26       |
|    6 |   26  |     30   |     6  |  24.6  |  3.85 |  0.3  |  0.2   |  6x26x30       |
|    6 |   28  |     32   |     7  |  26.7  |  4.03 |  0.3  |  0.2   |  6x28x32       |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|    8 |   32  |     36   |     6  |  30.4  |  2.71 |  0.4  |  0.3   |  8x32x36       |
|    8 |   36  |     40   |     7  |  34.5  |  3.46 |  0.4  |  0.3   |  8x36x40       |
|    8 |   42  |     46   |     8  |  40.4  |  5.03 |  0.4  |  0.3   |  8x42x46       |
|    8 |   46  |     50   |     9  |  44.6  |  5.75 |  0.4  |  0.3   |  8x46x50       |
|    8 |   52  |     58   |    10  |  49.7  |  4.89 |  0.5  |  0.5   |  8x52x58       |
|    8 |   56  |     62   |    10  |  53.6  |  6.38 |  0.5  |  0.5   |  8x56x62       |
|    8 |   62  |     68   |    12  |  59.8  |  7.31 |  0.5  |  0.5   |  8x62x68       |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|   10 |   72  |     78   |    12  |  69.6  |  5.45 |  0.5  |  0.5   |  10x72x78      |
|   10 |   82  |     88   |    12  |  79.3  |  8.62 |  0.5  |  0.5   |  10x82x88      |
|   10 |   92  |     98   |    14  |  89.14 | 10.08 |  0.5  |  0.5   |  10x92x98      |
|   10 |  102  |    108   |    16  |  99.9  | 11.49 |  0.5  |  0.5   |  10x102x108    |
|   10 |  112  |    120   |    18  | 108.8  | 10.72 |  0.5  |  0.5   |  10x112x120    |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|                           —–≈ƒÕﬂﬂ —≈–»ﬂ                            |                |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|    6 |   11  |     14   |     3  |   9.9  |  0    |  0.3  |  0.2   |  6x11x14       |
|    6 |   13  |     16   |     3.5|  12.0  |  0    |  0.3  |  0.2   |  6x13x16       |
|    6 |   16  |     20   |     4  |  14.54 |  0    |  0.3  |  0.2   |  6x16x20       |
|    6 |   18  |     22   |     5  |  16.7  |  0    |  0.3  |  0.2   |  6x18x22       |
|    6 |   21  |     25   |     5  |  19.5  |  1.95 |  0.3  |  0.2   |  6x21x25       |
|    6 |   23  |     28   |     6  |  21.3  |  1.34 |  0.3  |  0.2   |  6x23x28       |
|    6 |   26  |     32   |     6  |  23.4  |  1.65 |  0.4  |  0.3   |  6x26x32       |
|    6 |   28  |     34   |     7  |  25.9  |  1.70 |  0.4  |  0.3   |  6x18x22       |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|    8 |   32  |     38   |     6  |  29.4  |  0    |  0.4  |  0.3   |  8x32x38       |
|    8 |   36  |     42   |     7  |  33.5  |  1.02 |  0.4  |  0.3   |  8x36x42       |
|    8 |   42  |     48   |     8  |  39.5  |  2.57 |  0.4  |  0.3   |  8x42x48       |
|    8 |   46  |     54   |     9  |  42.7  |  0    |  0.5  |  0.5   |  8x46x54       |
|    8 |   52  |     60   |    10  |  48.7  |  2.44 |  0.5  |  0.5   |  8x52x60       |
|    8 |   56  |     65   |    10  |  52.2  |  2.5  |  0.5  |  0.5   |  8x56x65       |
|    8 |   62  |     72   |    12  |  57.8  |  2.4  |  0.5  |  0.5   |  8x62x72       |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|   10 |   72  |     82   |    12  |  67.4  |  0    |  0.5  |  0.5   |  10x72x82      |
|   10 |   82  |     92   |    12  |  77.1  |  3.0  |  0.5  |  0.5   |  10x82x92      |
|   10 |   92  |    102   |    14  |  87.3  |  4.5  |  0.5  |  0.5   |  10x92x102     |
|   10 |  102  |    112   |    16  |  97.7  |  6,3  |  0.5  |  0.5   |  10x102x112    |
|   10 |  112  |    125   |    18  | 106.3  |  4.4  |  0.5  |  0.5   |  10x112x125    |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|                           “ﬂ∆≈À¿ﬂ —≈–»ﬂ                            |                |
|------+-------+----------+--------+--------+-------+-------+--------+----------------|
|   10 |   16  |     20   |     2.5|  14.1  |  0    |  0.3  |  0.2   |  10x16x20      |
|   10 |   18  |     23   |     3  |  15.6  |  0    |  0.3  |  0.2   |  10x18x23      |
|   10 |   21  |     26   |     3  |  18.5  |  0    |  0.3  |  0.2   |  10x21x26      |
|   10 |   23  |     29   |     4  |  20.3  |  0    |  0.3  |  0.2   |  10x23x29      |
|   10 |   26  |     32   |     4  |  23.0  |  0    |  0.4  |  0.3   |  10x26x32      |
|   10 |   28  |     35   |     4  |  24.4  |  0    |  0.4  |  0.3   |  10x28x35      |
|   10 |   32  |     40   |     5  |  28.0  |  0    |  0.4  |  0.3   |  10x32x40      |
|   10 |   36  |     45   |     5  |  31.3  |  0    |  0.4  |  0.3   |  10x36x45      |
