ькхжебше янедхмемхъ я рпесцнкэмшл опнтхкел,
           пюглепш Б лл
+------+-------+----------+--------+----------------+
|      |дхюлерп| дхюлерп  |        |                |
|вхякн |нйпсфм.|нйпсфмнярх| лндскэ |  нАНГМЮВЕМХЕ   |
|гсаэеб|боюдхм | бшярсонб |        |                |
|      |       |          |        |                |
+------+-------+----------+--------+----------------+
|            лндскэ 0.5            |                |
|------+-------+----------+--------+----------------|
|  15  |  7.3  |    8     |    0.5 |  8x0.5         |
|  19  |  9.3  |    10    |    0.5 |  10x0.5        |
|  23  |  11.3 |    12    |    0.5 |  12x0.5        |
|  27  |  13.3 |    14    |    0.5 |  14x0.5        |
|  31  |  15.3 |    16    |    0.5 |  16x0.5        |
|  35  |  17.3 |    18    |    0.5 |  18x0.5        |
|  39  |  19.3 |    20    |    0.5 |  20x0.5        |
|  43  |  21.3 |    22    |    0.5 |  22x0.5        |
|------+-------+----------+--------+----------------|
|            лндскэ 0.75           |                |
|------+-------+----------+--------+----------------|
|  31  |  22.95|    24    |    0.75|  24x0.75       |
|  35  |  25.95|    27    |    0.75|  27x0.75       |
|  39  |  28.95|    30    |    0.75|  30x0.75       |
|------+-------+----------+--------+----------------|
|            лндскэ 1              |                |
|------+-------+----------+--------+----------------|
|  32  |  31.6 |    33    |    1   |  33x1          |
|  35  |  34.6 |    36    |    1   |  36x1          |
|  38  |  37.6 |    39    |    1   |  39x1          |
|------+-------+----------+--------+----------------|
|            лндскэ 1.5            |                |
|------+-------+----------+--------+----------------|
|  27  |  39.9 |    42    |    1.5 |  42x1.5        |
|  29  |  42.9 |    45    |    1.5 |  45x1.5        |
|  31  |  45.9 |    48    |    1.5 |  48x1.5        |
+------+-------+----------+--------+----------------+
