       Размеры трапецeцеидaльных резьб в мм.

+-------------+----+-------+-------+-------+------¬
|Обозначение  |Шаг |Внеш-  |Средний|Внутрен|Фаска |
|  pезьбы     |    | ний   |диаметр| ний   |      |
|             |    |диаметp|       |диаметp|      |
|             |    |  d4   |  d2   |  d1   |      |
+-------------+----+-------+-------+-------+------+
|  8x2        |2   |  8.5  |  7    |  6    |  1.6 |
| 10x2        |2   | 10.5  |  9    |  8    |  1.6 |
| 12x2        |2   | 12.5  | 11    |  10   |  1.6 |
| 14x2        |2   | 14.5  | 13    |  12   |  1.6 |
| 16x2        |2   | 16.5  | 15    |  14   |  1.6 |
| 18x2        |2   | 18.5  | 17    |  16   |  1.6 |
| 20x2        |2   | 20.5  | 19    |  18   |  1.6 |
| 22x2        |2   | 22.5  | 21    |  20   |  1.6 |
| 24x2        |2   | 24.5  | 23    |  22   |  1.6 |
| 26x2        |2   | 26.5  | 25    |  24   |  1.6 |
| 28x2        |2   | 28.5  | 27    |  26   |  1.6 |
|    10x3     |3   | 10.5  |  8.5  |  7    |  2   |
|    12x3     |3   | 12.5  | 10.5  |  9    |  2   |
|    14x3     |3   | 14.5  | 12.5  |  11   |  2   |
|    30x3     |3   | 30.5  | 28.5  |  27   |  2   |
|    32x3     |3   | 32.5  | 30.5  |  29   |  2   |
|    34x3     |3   | 34.5  | 32.5  |  31   |  2   |
|    36x3     |3   | 36.5  | 34.5  |  33   |  2   |
|    38x3     |3   | 38.5  | 36.5  |  35   |  2   |
|    40x3     |3   | 40.5  | 38.5  |  37   |  2   |
|    42x3     |3   | 42.5  | 40.5  |  39   |  2   |
|    44x3     |3   | 44.5  | 42.5  |  41   |  2   |
|    46x3     |3   | 46.5  | 44.5  |  43   |  2   |
|    48x3     |3   | 48.5  | 46.5  |  45   |  2   |
|    50x3     |3   | 50.5  | 48.5  |  47   |  2   |
|    52x3     |3   | 52.5  | 50.5  |  49   |  2   |
|    55x3     |3   | 55.5  | 53.5  |  52   |  2   |
|    60x3     |3   | 60.5  | 58.5  |  57   |  2   |
| 16x4        |4   | 16.5  | 14    |  12   |  2.5 |
| 18x4        |4   | 18.5  | 16    |  14   |  2.5 |
| 20x4        |4   | 20.5  | 18    |  16   |  2.5 |
| 65x4        |4   | 65.5  | 63    |  61   |  2.5 |
| 70x4        |4   | 70.5  | 68    |  66   |  2.5 |
| 75x4        |4   | 75.5  | 73    |  71   |  2.5 |
| 80x4        |4   | 80.5  | 78    |  76   |  2.5 |
|     22x5    |5   | 22.5  | 19.5  |  17   |  3   |
|     24x5    |5   | 24.5  | 21.5  |  19   |  3   |
|     26x5    |5   | 26.5  | 23.5  |  21   |  3   |
|     28x5    |5   | 28.5  | 25.5  |  23   |  3   |
|     85x5    |5   | 85.5  | 82.5  |  80   |  3   |
|     90x5    |5   | 90.5  | 87.5  |  85   |  3   |
|     95x5    |5   | 95.5  | 92.5  |  90   |  3   |
|    100x5    |5   |100.5  | 97.5  |  95   |  3   |
|    110x5    |5   |110.5  |107.5  |  105  |  3   |
| 30x6        |6   | 31    | 27    |  24   |  3.5 |
| 32x6        |6   | 33    | 29    |  26   |  3.5 |
| 34x6        |6   | 35    | 31    |  28   |  3.5 |
| 36x6        |6   | 37    | 33    |  30   |  3.5 |
| 38x6        |6   | 39    | 35    |  32   |  3.5 |
| 40x6        |6   | 41    | 37    |  34   |  3.5 |
| 42x6        |6   | 43    | 39    |  36   |  3.5 |
| 120x6       |6   |121    |117    |  114  |  3.5 |
| 130x6       |6   |131    |127    |  124  |  3.5 |
| 140x6       |6   |141    |137    |  134  |  3.5 |
| 150x6       |6   |151    |147    |  144  |  3.5 |
| 22x8        |8   | 23    | 18    |  14   |  4.5 |
| 24x8        |8   | 25    | 20    |  16   |  4.5 |
| 26x8        |8   | 27    | 22    |  18   |  4.5 |
| 28x8        |8   | 29    | 24    |  20   |  4.5 |
| 44x8        |8   | 45    | 40    |  36   |  4.5 |
| 46x8        |8   | 47    | 42    |  38   |  4.5 |
| 48x8        |8   | 49    | 44    |  40   |  4.5 |
| 50x8        |8   | 51    | 46    |  42   |  4.5 |
| 52x8        |8   | 53    | 48    |  44   |  4.5 |
| 55x8        |8   | 56    | 51    |  47   |  4.5 |
| 60x8        |8   | 61    | 56    |  52   |  4.5 |
| 160x8       |8   |161    |156    |  152  |  4.5 |
| 170x8       |8   |171    |166    |  162  |  4.5 |
