  Поля допусков валов и отверстий на ширину шпоночных пазов при номинальных
                размерах св. 58 до 230 мм.  Предельные отклонения
+-----+---------------------------------------------------------------------+
|Поля |                  Интервалы номинальных размеров, мм                 |
|     |------+------+------+------+------+------+------+------+------+------|
|     |св.58 |св.65 |св.75 |св.85 |св.95 |св.110|св.130|св.150|св.170|св.200|
|     |до 65 |до 75 |до 85 |до 95 |до 110|до 130|до 150|до 170|до 200|до 230|
+-----+------+------+------+------+------+------+------+------+------+------+
| H9  |  +43 |  +52 |  +52 |  +52 |  +52 |  +62 |  +62 |  +62 |  +62 |  +62 |
|     |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |
| N9  |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |
|     |  -43 |  -52 |  -52 |  -52 |  -52 |  -62 |  -62 |  -62 |  -62 |  -62 |
| P9  |  -18 |  -22 |  -22 |  -22 |  -22 |  -26 |  -26 |  -26 |  -26 |  -26 |
|     |  -61 |  -74 |  -74 |  -74 |  -74 |  -88 |  -88 |  -88 |  -88 |  -88 |
|================================= Поля допусков для ВТУЛОК ================|
|===========================================================================|
| D10 | +120 | +149 | +149 | +149 | +149 | +180 | +180 | +180 | +180 | +180 |
|     |  +50 |  +65 |  +65 |  +65 |  +65 |  +80 |  +80 |  +80 |  +80 |  +80 |
| Js9 |  +21 |  +26 |  +26 |  +26 |  +26 |  +31 |  +31 |  +31 |  +31 |  +31 |
|     |  -21 |  -26 |  -26 |  -26 |  -26 |  -31 |  -31 |  -31 |  -31 |  -31 |
| P9  |  -18 |  -22 |  -22 |  -22 |  -22 |  -26 |  -26 |  -26 |  -26 |  -26 |
|     |  -61 |  -74 |  -74 |  -74 |  -74 |  -88 |  -88 |  -88 |  -88 |  -88 |
+-----+------+------+------+------+------+------+------+------+------+------+
