   Поля допусков валов и втулок на ширину шпоночных пазов при номинальных
             размерах от 230 до 500мм.   Предельные отклонения
+-----+--------------------------------------------------------------------+
|Поля |              Интервалы номинальных размеров, мм                    |
|доп. |------+------+------+------+------+------+--------------------------|
|     |св.230|св.260|св.290|св.330|св.380|св.440|                          |
|     |до 260|до 290|до 330|до 380|до 440|до 500|                          |
+-----+------+------+------+------+------+------+--------------------------+
| H9  |  +74 |  +74 |  +74 |  +74 |  +87 |  +87 |                          |
|     |    0 |    0 |    0 |    0 |    0 |    0 |                          |
| N9  |    0 |    0 |    0 |    0 |    0 |    0 |                          |
|     |  -74 |  -74 |  -74 |  -74 |  -87 |  -87 |                          |
| P9  |  -32 |  -32 |  -32 |  -32 |  -37 |  -37 |                          |
|     | -106 | -106 | -106 | -106 | -124 | -124 |                          |
|========================= ПОЛЯ ДОПУСКОВ ВТУЛОК ========================== |
|========================================================================= |
| D10 |  +22 |  +22 |  +22 |  +22 | +260 |  +22 |                          |
|     | +100 | +100 | +100 | +100 | +120 | +100 |                          |
| Js9 |  +37 |  +37 |  +37 |  +37 |  +43 |  +43 |                          |
|     |  -37 |  -37 |  -37 |  -37 |  -43 |  -43 |                          |
| P9  |  -32 |  -32 |  -32 |  -32 |  -37 |  -37 |                          |
|     | -106 | -106 | -106 | -106 | -124 | -124 |                          |
+-----+------+------+------+------+------+------+--------------------------+
