 Поля допусков ВАЛОВ на ширину пазов под шпонки при номин. размерах 6-58 мм.
                            Предельные отклонения
+-----+---------------------------------------------------------------------+
|Поля |                  Интервалы номинальных размеров, мм                 |
|доп. |------+------+------+------+------+------+------+------+------+------|
|     |От.6  |св.8  |св.10 |св.12 |св.17 |св.22 |св.30 |св.38 |св.44 |св.50 |
|     |до 8  |до 10 |до 12 |до 17 |до 22 |до 30 |до 38 |до 44 |до 50 |до 58 |
+-----+------+------+------+------+------+------+------+------+------+------+
| H9  | +25  | +25  | +30  |  +30 |  +30 |  +36 |  +36 |  +43 |  +43 |  +43 |
|     |   0  |   0  |   0  |    0 |    0 |    0 |    0 |    0 |    0 |    0 |
| N9  |  -4  |  -4  |   0  |    0 |    0 |    0 |    0 |    0 |    0 |    0 |
|     | -29  | -29  | -30  |  -30 |  -30 |  -36 |  -36 |  -43 |  -43 |  -43 |
| P9  |  -6  |  -6  | -12  |  -12 |  -12 |  -15 |  -15 |  -18 |  -18 |  -18 |
|     | -31  | -31  | -42  |  -42 |  -42 |  -51 |  -51 |  -61 |  -61 |  -61 |
| ============================== для ВТУЛОК   ============================= |
| ========================================================================= |
| D10 |  +6  |  +6  | +78  |  +78 |  +78 |  +98 |  +98 | +120 | +120 | +120 |
|     | +20  | +20  | +30  |  +30 |  +30 |  +40 |  +40 |  +50 |  +50 |  +50 |
| Js9 | +12  | +12  | +15  |  +15 |  +15 |  +18 |  +18 |  +21 |  +21 |  +21 |
|     | -12  | -12  | -15  |  -15 |  -15 |  -18 |  -18 |  -21 |  -21 |  -21 |
| P9  |  -6  |  -6  | -12  |  -12 |  -12 |  -15 |  -15 |  -18 |  -18 |  -18 |
|     | -31  | -31  | -42  |  -42 |  -42 |  -51 |  -51 |  -61 |  -61 |  -61 |
+-----+------+------+------+------+------+------+------+------+------+------+
