    Размеры сечений  пазов            
 под стопорные многолапчатые шайбы 
+----------------+----------------¬-------------¬
|        ДИАМЕТР |    РАЗМЕРЫ     |             |
|         ВАЛА   |    CЕЧЕНИЙ     | Обозначение |
|                +-------+--------+  резьбы     |
|                |ширина | высота |             |
+----------------+-------+--------+-------------|
|         6      |  1.8  |    2   |   6x1       |
|         8      |  3    |    3   |   8x1       |
|        10      |  3.5  |    3.5 |  10x1.25    |
|        12      |  3.8  |    3.5 |  12x1.25    |
|        14      |  3.8  |    3.5 |  14x1.5     |
|        16      |  4.8  |    3.5 |  16x1.5     |
|        18      |  4.8  |    3.5 |  18x1.5     | 
|        20      |  4.8  |    3.5 |  20x1.5     |
|        20      |  4.8  |    3.5 |  20x2.5     |
|        22      |  4.8  |    3.5 |  22x1.5     |
|        24      |  4.8  |    3.5 |  24x1.5     |
|        27      |  4.8  |    3.5 |  27x1.5     |
|        30      |  4.8  |    3.5 |  30x1.5     |
|        33      |  5.8  |    3.5 |  33x1.5     |
|        36      |  5.8  |    3.5 |  36x1.5     |
|        39      |  5.8  |    3.5 |  39x1.5     |
|        42      |  5.8  |    3.5 |  42x1.5     |
|        45      |  5.8  |    3.5 |  45x1.5     |
|        48      |  7.8  |    3.5 |  48x1.5     |
|        52      |  7.8  |    3.5 |  52x1.5     |
|        56      |  7.8  |    4   |  56x2       |
|        60      |  7.8  |    4   |  60x2       |
|        64      |  7.8  |    4   |  64x2       |
|        68      |  9.5  |    4   |  68x2       |
|        72      |  9.5  |    4   |  72x2       |
|        76      |  9.5  |    4   |  76x2       |
|        80      |  9.5  |    5   |  80x2       |
|        85      |  9.5  |    5   |  85x2       |
|        90      |  11.5 |    5   |  90x2       |
|        95      |  11.5 |    5   |  95x2       |
|       100      |  11.5 |    5   | 100x2       |
|       105      |  11.5 |    5   | 105x2       |
|       110      |  13.5 |    5   | 110x2       |
|       115      |  13.5 |    5   | 115x2       |
|       120      |  13.5 |    5   | 120x2       |
|       125      |  13.5 |    5   | 125x2       |
+----------------+-------+-----------------------   

