   Проточки НАРУЖНЫЕ под кольца запорные.
        ОСНОВНЫЕ РАЗМЕРЫ
+---------+------------+---------+------------¬
|наружный | внутренний | радиус  | допуск на  |
|диаметр  | диаметр    | кольца  | внутренний |
|вала     |            |         | диаметр    |
|  d      |     d1     |   r     |            |
+---------+------------+---------+------------+
| 4       |   3.6      |  0.4    |  -0.1      |
| 5       |   4.6      |  0.4    |  -0.1      |
| 6       |   5.6      |  0.4    |  -0.1      |
| 8       |   7.8      |  0.4    |  -0.1      |
| 10      |   9.6      |  0.4    |  -0.1      |
| 12      |  11.4      |  0.6    |  -0.1      |
| 13      |  12.4      |  0.6    |  -0.1      |
| 14      |  13.4      |  0.6    |  -0.1      |
| 16      |  15.0      |  1.0    |  -0.1      |
| 18      |  17        |  1.0    |  -0.1      |
| 20      |  18.8      |  1.2    |  -0.2      |
| 22      |  20.8      |  1.2    |  -0.2      |
| 25      |  23.8      |  1.2    |  -0.2      |
| 28      |  26.8      |  1.2    |  -0.2      |
| 30      |  28.8      |  1.2    |  -0.2      |
| 32      |  30.5      |  1.6    |  -0.2      |
| 36      |  34.5      |  1.6    |  -0.2      |
| 38      |  36.5      |  1.6    |  -0.2      |
| 40      |  38.5      |  1.6    |  -0.2      |
| 42      |  40.5      |  1.6    |  -0.2      |
| 45      |  43.5      |  1.6    |  -0.2      |
| 48      |  46.5      |  1.6    |  -0.2      |
| 50      |  48.5      |  1.6    |  -0.2      |
| 55      |  53        |  2.0    |  -0.3      |
| 60      |  58        |  2.0    |  -0.3      |
| 65      |  63        |  2.0    |  -0.3      |
| 70      |  68        |  2.0    |  -0.3      |
| 75      |  73        |  2.0    |  -0.3      |
| 80      |  78        |  2.0    |  -0.3      |
| 85      |  83        |  2.0    |  -0.3      |
| 90      |  88        |  2.0    |  -0.3      |
| 95      |  93        |  2.0    |  -0.3      |
| 100     |  98        |  2.0    |  -0.3      |
+---------+------------+---------+-------------

