    Проточки ВНУТРЕННИЕ под кольца запорные.
        ОСНОВНЫЕ РАЗМЕРЫ
+---------+------------+---------+-----------¬
|номинальн|диаметр     |радиус   |допуск на  |
|диаметр  |проточки    |кольца   |диаметр    |
|отверстия|            |         |проточки   |
|   d     |     d1     |   r     |           |
+---------+------------+---------+-----------+
| 8       |   8.4      |  0.4    |  +0.1     |
| 10      |  10.4      |  0.4    |  +0.1     |
| 12      |  12.6      |  0.6    |  +0.1     |
| 13      |  13.6      |  0.6    |  +0.1     |
| 14      |  14.6      |  0.6    |  +0.1     |
| 16      |  17.0      |  1.0    |  +0.1     |
| 18      |  19.0      |  1.0    |  +0.1     |
| 20      |  21.2      |  1.2    |  +0.2     |
| 22      |  23.2      |  1.2    |  +0.2     |
| 25      |  26.2      |  1.2    |  +0.2     |
| 28      |  29.2      |  1.2    |  +0.2     |
| 30      |  31.2      |  1.2    |  +0.2     |
| 32      |  33.5      |  1.6    |  +0.2     |
| 36      |  37.5      |  1.6    |  +0.2     |
| 38      |  39.5      |  1.6    |  +0.2     |
| 40      |  41.5      |  1.6    |  +0.2     |
| 42      |  43.5      |  1.6    |  +0.2     |
| 45      |  46.5      |  1.6    |  +0.2     |
| 48      |  49.5      |  1.6    |  +0.2     |
| 50      |  51.5      |  1.6    |  +0.2     |
| 55      |  57.5      |  2.0    |  +0.3     |
| 60      |  62.5      |  2.0    |  +0.3     |
| 65      |  67.5      |  2.0    |  +0.3     |
| 70      |  72.5      |  2.0    |  +0.3     |
| 75      |  77.5      |  2.0    |  +0.3     |
| 80      |  82.5      |  2.0    |  +0.3     |
| 85      |  87.5      |  2.0    |  +0.3     |
| 90      |  92.5      |  2.0    |  +0.3     |
| 95      |  97.5      |  2.0    |  +0.3     |
| 100     |  102.5     |  2.0    |  +0.3     |
+---------+------------+---------+------------

