                      СМАЗОЧНЫЕ ОТВЕРСТИЯ В ВАЛАХ
+---------------+------+-------+------+------+------+-------+-------+-------+------+------+-------+
|   Тип и диаметр резьбы, d    |     Глубина нарезания, l   |       |       |      |      |       |
|------------------------------|----------------------------|       |       |      |      |       |
| Конич |    трубная   |Метрич | Конич|   трубная   |Метрич |   d1  |   d2  |  l1  |  l2  |   c   |
| дюйм  |--------------|мелкая | дюйм |-------------|мелкая |       |       |  max |      |       |
|       | Конич | Цилин|       |      |Конич |Цилин |       |       |       |      |      |       |
+-------+-------+------+-------+------+------+------+-------+-------+-------+------+------+-------+
|       |       |      |10x1.25|      |      |      |  12   |   8.5 |   6   | 150  |  15  |  0.5  |
|       |       |      |14x1.5 |      |      |      |  16   |  12.5 |   8   | 200  |  20  |  1    |
|  1/8" |       |      | 9.728 |  6.7 |      |      |       |   8.5 |   6   | 150  |  15  |  1    |
|       |  1/8" |      | 9.728 |      |  10  |      |       |   8.5 |   6   | 150  |  15  |  1    |
|  1/4" |       |      |13.157 | 10.2 |      |      |       |  11.5 |   8   | 200  |  20  |  1    |
|       |  1/4" |      |13.157 |      |  11  |      |       |  11.5 |   8   | 200  |  20  |  1    |
|       |       | 1/4" |13.157 |      |      |  18  |       |  11.5 |   8   | 200  |  20  |  1    |
|       |  3/8" |      |16.662 |      |  13  |      |       |  14.5 |   10  | 400  |  25  |  1    |
|       |       | 3/8" |16.662 |      |      |  20  |       |  14.5 |   10  | 400  |  25  |  1    |
|  1/2" |       |      |20.955 | 13.5 |      |      |       |  18.5 |   12  | 800  |  30  |  1    |
|       |  1/2" |      |20.955 |      |  16  |      |       |  18.5 |   12  | 800  |  30  |  1    |
|       |       | 1/2" |20.955 |      |      |  25  |       |  18.5 |   12  | 800  |  30  |  1    |
+-------+-------+------+-------+------+------+------+-------+-------+-------+------+------+-------+
