     –¿«Ã≈–€ –≈«‹¡Œ¬€’ Œ“¬≈–—“»… (√Œ—“ 10549 Ú.2)
+-------------------------------------------------+
|      |      |     Õ≈ƒŒ–≈«     | «‡Ô‡Ò  |        |
| ÿ¿√  |  D   |ÕŒ–Ã¿À‹Õ|”Ã≈Õ‹ÿ≈Õ| pÂÁ¸·˚ | ‘‡ÒÍ‡  |
|      |      |ÍÎ.Ú. ¿ |        |        |        |
+------+------+--------+--------+--------+--------|
| 0.35 | 1.5  | L+2.0  | L+1.8  | L+0.35 |  0.3   |
| 0.40 | 2.0  | L+2.0  | L+1.8  | L+0.40 |  0.3   |
| 0.45 | 2.5  | L+2.0  | L+1.8  | L+0.45 |  0.3   |
| 0.50 | 3.0  | L+3.5  | L+3.0  | L+0.50 |  0.5   |
| 0.60 | 3.5  | L+3.5  | L+3.0  | L+0.60 |  0.5   |
| 0.70 | 4.0  | L+3.5  | L+3.0  | L+0.70 |  0.5   |
| 0.75 | 4.5  | L+4.0  | L+3.2  | L+0.75 |  1.0   |
| 0.80 | 5.0  | L+4.0  | L+3.2  | L+0.80 |  1.0   |
| 1.00 | 6.0  | L+5.0  | L+3.8  | L+1    |  1.0   |
| 1.25 | 8.0  | L+5.0  | L+3.8  | L+1.25 |  1.6   |
| 1.50 |10.0  | L+6.0  | L+4.5  | L+1.5  |  1.6   |
| 1.75 |12.0  | L+7.0  | L+5.2  | L+1.75 |  1.6   |
| 2.00 |14.0  | L+8.0  | L+6.0  | L+2    |  2     |
| 2.00 |16.0  | L+8.0  | L+6.0  | L+2    |  2     |
| 2.50 |18.0  | L+10.0 | L+7.5  | L+2.5  |  2.5   |
| 2.50 |20.0  | L+10.0 | L+7.5  | L+2.5  |  2.5   |
| 2.50 |22.0  | L+10.0 | L+7.5  | L+2.5  |  2.5   |
| 3.00 |24.0  | L+9.0  | L+9.0  | L+3    |  2.5   |
| 3.00 |27.0  | L+9.0  | L+9.0  | L+3    |  2.5   |
| 3.50 |30.0  | L+10.5 | L+10.5 | L+3.5  |  2.5   |
| 3.50 |33.0  | L+10.5 | L+10.5 | L+3.5  |  2.5   |
| 4.00 |36.0  | L+12.5 | L+12.5 | L+4    |  3     |
| 4.00 |39.0  | L+12.5 | L+12.5 | L+4    |  3     |
| 4.50 |42.0  | L+14.0 | L+14.0 | L+4.5  |  3     |
| 4.50 |45.0  | L+14.0 | L+14.0 | L+4.5  |  3     |
| 5.00 |48.0  | L+16.0 | L+16.0 | L+5    |  4     |
| 5.00 |52.0  | L+16.0 | L+16.0 | L+5    |  4     |
| 5.50 |56.0  |        |        | L+5.5  |  4     |
| 5.50 |60.0  |        |        | L+5.5  |  4     |
| 6.00 |64.0  |        |        | L+6    |  4     |
| 6.00 |68.0  |        |        | L+6    |  4     |
+-------------------------------------------------+
