           Размеры метрических резьб в мм.
     (по ГОСТ 9150-81, ГОСТ 8724-81, ГОСТ24705-81)
+-------------+----+-------+-------+-------+-------+-----+
|Обозначение  |Шаг |Наpуж- |Cредний|Внутрен|Высота |Фаска|
|  pезьбы     |    | ный   |диаметр| ний   |профиля|     |
|             |    |диаметp|       |диаметp|       |     |
|             |    |       |       |       |       |     |
+-------------+----+-------+-------+-------+-------+-----+
| M2          |0.4 |  2    |   1.74|  1.567|  0.216| 0.3 |
| M2.5        |0.45|  2.5  |  2.208|  2.013|  0.243| 0.3 |
| M2.5x0.35   |0.35|  2.5  |  2.273|  2.121|  0.189| 0.3 |
| M3          |0.5 |  3    |  2.675|  2.459|  0.270| 0.5 |
| M3x0.35     |0.35|  3    |  2.773|  2.621|  0.189| 0.3 |
|    M3.5     |0.6 |  3.5  |  3.110|  2.850|  0.325| 0.5 |
|    M3.5x0.35|0.35|  3.5  |  3.273|  3.121|  0.189| 0.3 |
| M4          |0.7 |  4    |  3.546|  3.242|  0.379| 0.5 |
| M4x0.5      |0.5 |  4    |  3.675|  3.459|  0.270| 0.5 |
|    M4.5     |0.75|  4.5  |  4.013|  3.688|  0.406| 1   |
|    M4.5x0.5 |0.5 |  4.5  |  4.175|  3.959|  0.270| 0.5 |
| M5          |0.8 |  5    |  4.480|  4.134|  0.433| 1   |
| M5x0.5      |0.5 |  5    |  4.675|  4.459|  0.270| 0.5 |
| M6          |1   |  6    |  5.350|  4.918|  0.541| 1   |
| M6x0.75     |0.75|  6    |  5.513|  5.188|  0.406| 1   |
| M6x0.5      |0.5 |  6    |  5.675|  5.459|  0.270| 0.5 |
| M8          |1.25|  8    |  7.188|  6.647|  0.676| 1.6 |
| M8x1        |1   |  8    |  7.350|  6.918|  0.541| 1   |
| M8x0.75     |0.75|  8    |  7.513|  7.188|  0.406| 1   |
| M8x0.5      |0.5 |  8    |  7.675|  7.459|  0.270| 0.5 |
| M10         |1.5 |  10   |  9.026|  8.376|  0.812| 1.6 |
| M10x1.25    |1.25|  10   |  9.188|  8.647|  0.676| 1.6 |
| M10x1       |1   |  10   |  9.350|  8.918|  0.541| 1   |
| M10x0.75    |0.75|  10   |  9.513|  9.188|  0.406| 1   |
| M10x0.5     |0.5 |  10   |  9.675|  9.459|  0.270| 0.5 |
| M12         |1.75|  12   | 10.863| 10.106|  0.947| 1.6 |
| M12x1.5     |1.5 |  12   | 11.026| 10.376|  0.812| 1.6 |
| M12x1.25    |1.25|  12   | 11.188| 10.647|  0.676| 1.6 |
| M12x1       |1   |  12   | 11.350| 10.918|  0.541| 1   |
| M12x0.75    |0.75|  12   | 11.513| 11.188|  0.406| 1   |
| M12x0.5     |0.5 |  12   | 11.675| 11.459|  0.270| 0.5 |
|    M14      |2   |  14   | 12.701| 11.835|  1.082| 2   |
|    M14x1.5  |1.5 |  14   | 13.026| 12.376|  0.812| 1.6 |
|    M14x1.25 |1.25|  14   | 13.188| 12.647|  0.676| 1.6 |
|    M14x1    |1   |  14   | 13.350| 12.918|  0.541| 1   |
|    M14x0.75 |0.75|  14   | 13.513| 13.188|  0.406| 1   |
|    M14x0.5  |0.5 |  14   | 13.675| 13.459|  0.270| 0.5 | 
| M16         |2   |  16   | 14.701| 13.835|  1.082| 2   |
| M16x1.5     |1.5 |  16   | 15.026| 14.376|  0.812| 1.6 |
| M16x1       |1   |  16   | 15.350| 14.918|  0.541| 1   |
| M16x0.75    |0.75|  16   | 15.513| 15.188|  0.406| 1   |
| M16x0.5     |0.5 |  16   | 15.675| 15.459|  0.270| 0.5 |
|    M18      |2.5 |  18   | 16.376| 15.294|  1.353| 2.5 |
|    M18x2    |2   |  18   | 16.701| 15.835|  1.082| 2   |
|    M18x1.5  |1.5 |  18   | 17.026| 16.376|  0.812| 1.6 |
|    M18x1    |1   |  18   | 17.350| 16.918|  0.541| 1   |
|    M18x0.75 |0.75|  18   | 17.513| 18.188|  0.406| 1   |
|    M18x0.5  |0.5 |  18   | 17.675| 17.459|  0.270| 0.5 |
| M20         |2.5 |  20   | 18.376| 17.294|  1.353| 2.5 |
| M20x2       |2   |  20   | 18.701| 17.835|  1.082| 2   |
| M20x1.5     |1.5 |  20   | 19.026| 18.376|  0.812| 1.6 |
| M20x1       |1   |  20   | 19.350| 18.918|  0.541| 1   |
| M20x0.75    |0.75|  20   | 19.513| 19.188|  0.406| 1   |
| M20x0.5     |0.5 |  20   | 19.675| 19.459|  0.270| 0.5 |
|    M22      |2.5 |  22   | 20.376| 19.294|  1.353| 2.5 |
|    M22x2    |2   |  22   | 20.701| 19.835|  1.082| 2   |
|    M22x1.5  |1.5 |  22   | 21.026| 20.376|  0.812| 1.6 |
|    M22x1    |1   |  22   | 21.350| 20.918|  0.541| 1   |
|    M22x0.75 |0.75|  22   | 21.513| 21.188|  0.406| 1   |
|    M22x0.5  |0.5 |  22   | 21.675| 21.459|  0.270| 0.5 |
| M24         |3   |  24   | 22.051| 20.752|  1.624| 2.5 |
| M24x2       |2   |  24   | 22.701| 21.835|  1.082| 2   |
| M24x1.5     |1.5 |  24   | 23.026| 22.376|  0.812| 1.6 |
| M24x1       |1   |  24   | 23.350| 22.918|  0.541| 1   |
| M24x0.75    |0.75|  24   | 23.513| 23.188|  0.406| 1   |
|    M27      |3   |  27   | 25.051| 23.752|  1.624| 2.5 |
|    M27x2    |2   |  27   | 25.701| 24.835|  1.082| 2   |
| M27x1.5     |1.5 |  27   | 26.026| 25.376|  0.812| 1.6 |
|    M27x1    |1   |  27   | 26.350| 25.918|  0.541| 1   |
|    M27x0.75 |0.75|  27   | 26.513| 26.188|  0.406| 1   |
| M30         |3.5 |  30   | 27.727| 26.211|  1.894| 2.5 |
|    M30x3    |3   |  30   | 28.051| 26.752|  1.624| 2.5 |
| M30x2       |2   |  30   | 28.701| 27.835|  1.082| 2   |
| M30x1.5     |1.5 |  30   | 29.026| 28.376|  0.812| 1.6 |
| M30x1       |1   |  30   | 29.350| 28.918|  0.541| 1   |
| M30x0.75    |0.75|  30   | 29.513| 29.188|  0.406| 1   |
|    M33      |3.5 |  33   | 30.727| 29.211|  1.894| 2.5 |
|    M33x3    |3   |  33   | 31.051| 29.752|  1.624| 2.5 |
|    M33x2    |2   |  33   | 31.701| 30.835|  1.082| 2   |
|    M33x1.5  |1.5 |  33   | 32.026| 31.376|  0.812| 1.6 |
|    M33x1    |1   |  33   | 32.350| 31.918|  0.541| 1   |
|    M33x0.75 |0.75|  33   | 32.513| 32.188|  0.406| 1   |
| M36         |4   |  36   | 33.402| 31.670|  2.165| 3   |
| M36x3       |3   |  36   | 34.051| 32.752|  1.624| 2.5 |
| M36x2       |2   |  36   | 34.701| 33.835|  1.082| 2   |
| M36x1.5     |1.5 |  36   | 35.026| 34.376|  0.812| 1.6 |
| M36x1       |1   |  36   | 35.350| 34.918|  0.541| 1   |
|    M39      |4   |  39   | 36.402| 34.670|  2.165| 3   |
|    M39x3    |3   |  39   | 37.051| 35.752|  1.624| 2.5 |
|    M39x2    |2   |  39   | 37.701| 36.835|  1.082| 2   |
|    M39x1.5  |1.5 |  39   | 38.026| 37.376|  0.812| 1.6 |
|    M39x1    |1   |  39   | 38.350| 37.918|  0.541| 1   |
| M42         |4.5 |  42   | 39.077| 37.129|  2.435| 3   |
|    M42x4    |4   |  42   | 39.402| 37.670|  2.165| 3   |
| M42x3       |3   |  42   | 40.051| 38.752|  1.624| 2.5 |
| M42x2       |2   |  42   | 40.701| 39.835|  1.082| 2   |
| M42x1.5     |1.5 |  42   | 41.026| 40.376|  0.812| 1.6 |
| M42x1       |1   |  42   | 41.350| 40.918|  0.541| 1   |
|     M45     |4.5 |  45   | 42.077| 40.129|  2.435| 3   |
|    M45x4    |4   |  45   | 42.402| 40.670|  2.165| 3   |
|    M45x3    |3   |  45   | 43.051| 41.752|  1.624| 2.5 |
|    M45x2    |2   |  45   | 43.701| 42.835|  1.082| 2   |
|    M45x1.5  |1.5 |  45   | 44.026| 43.376|  0.812| 1.6 |
|    M45x1    |1   |  45   | 44.350| 43.918|  0.541| 1   |
| M48         |5   |  48   | 44.752| 42.587|  2.706| 4   |
|    M48x4    |4   |  48   | 45.402| 43.670|  2.165| 3   |
| M48x3       |3   |  48   | 46.051| 44.752|  1.624| 2.5 |
| M48x2       |2   |  48   | 46.701| 45.835|  1.082| 2   |
| M48x1.5     |1.5 |  48   | 47.026| 46.376|  0.812| 1.6 |
| M48x1       |1   |  48   | 47.350| 46.918|  0.541| 1   |
|    M52      |5   |  52   | 48.752| 46.587|  2.706| 4   |
|    M52x4    |4   |  52   | 49.402| 47.670|  2.165| 3   |
|    M52x3    |3   |  52   | 50.051| 48.752|  1.624| 2.5 |
|    M52x2    |2   |  52   | 50.701| 49.835|  1.082| 2   |
|    M52x1.5  |1.5 |  52   | 51.026| 50.376|  0.812| 1.6 |
